GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_term,pmatch
GO:0014069,301,postsynaptic density,cellular_component,81,20873,67,1,endodeoxyribonuclease activity,0
GO:0005794,1889,Golgi apparatus,cellular_component,185,62651,17,1,Golgi stack,0
GO:0005764,463,lysosome,cellular_component,171,101710,46,1,early endosome,0
GO:0005929,475,cilium,cellular_component,66,19190,44,1,cytoskeletal microtubule,0
GO:0022625,214,cytosolic large ribosomal subunit,cellular_component,121,407,90,1,negative regulation of protein maturation,0
GO:0005741,491,mitochondrial outer membrane,cellular_component,53,25179,41,1,mitochondrial inner membrane,0
GO:0005840,5624,ribosome,cellular_component,506,161615,7,1,ribonucleoprotein complex,0
GO:0005802,260,trans-Golgi network,cellular_component,14,25799,76,1,Golgi stack,0
GO:0005730,5461,nucleolus,cellular_component,208,40758,8,1,nucleolus,1
GO:0005615,2981,extracellular space,cellular_component,728,94259,12,1,extracellular space,1
GO:1903561,163,extracellular vesicle,cellular_component,79,30046,118,2,negative regulation of protein maturation,0
GO:0098793,194,presynapse,cellular_component,66,2608,97,2,regulation of heart looping,0
GO:0043197,178,dendritic spine,cellular_component,37,33938,108,2,axonal transport vesicle,0
GO:0000932,159,P-body,cellular_component,32,5163,122,2,mitochondrial translation release factor complex,0
GO:0030659,143,cytoplasmic vesicle membrane,cellular_component,35,149,132,2,positive regulation of protein modification process,0
GO:0000502,102,proteasome complex,cellular_component,124,4863,174,2,"RNA polymerase I, II, and III complex",0
GO:0045171,185,intercellular bridge,cellular_component,10,1180,104,2,regulation of lipid metabolic process,0
GO:0033116,140,endoplasmic reticulum-Golgi intermediate compartment membrane,cellular_component,7,23,137,2,positive regulation of protein modification process,0
GO:0005762,196,mitochondrial large ribosomal subunit,cellular_component,18,535,95,2,early endosome,0
GO:0005669,134,transcription factor TFIID complex,cellular_component,17,82,144,2,"RNA polymerase II, core complex",0
GO:0090543,51,Flemming body,cellular_component,6,149,265,3,regulation of protein localization to cilium,0
GO:0031462,64,Cul2-RING ubiquitin ligase complex,cellular_component,1,2,231,3,protein complex,0
GO:0045177,79,apical part of cell,cellular_component,88,394,195,3,regulation of lipid metabolic process,0
GO:0016592,69,mediator complex,cellular_component,17,8391,219,3,ATPase complex,0
GO:0000813,69,ESCRT I complex,cellular_component,4,765,216,3,dynein axonemal rod,0
GO:0000307,60,cyclin-dependent protein kinase holoenzyme complex,cellular_component,43,215,245,3,pre-mRNA processing,0
GO:0005879,76,axonemal microtubule,cellular_component,3,409,204,3,microtubule,0
GO:0071944,61,cell periphery,cellular_component,226,21392,238,3,positive regulation of protein localization to cilium,0
GO:0097381,67,photoreceptor disc membrane,cellular_component,0,130,223,3,regulation of protein localization to cilium,0
GO:0042645,59,mitochondrial nucleoid,cellular_component,10,1007,247,3,negative regulation of protein maturation,0
GO:0035102,36,PRC1 complex,cellular_component,6,1889,350,4,phagocytic vesicle membrane,0
GO:0000407,47,phagophore assembly site,cellular_component,14,998,281,4,RNA polymerase II transcription regulator complex,0
GO:0008250,46,oligosaccharyltransferase complex,cellular_component,7,895,282,4,protein-N-terminal glutamine amidohydrolase activity,0
GO:0000794,46,condensed nuclear chromosome,cellular_component,24,143,284,4,nucleosome,0
GO:0005791,35,rough endoplasmic reticulum,cellular_component,16,16745,359,4,Golgi stack,0
GO:0034464,38,BBSome,cellular_component,5,1660,327,4,protein stabilization,0
GO:0030016,39,myofibril,cellular_component,92,10697,321,4,cellular response to nitrogen starvation,0
GO:0032281,38,AMPA glutamate receptor complex,cellular_component,10,9,328,4,regulation of lipid metabolic process,0
GO:0030014,38,CCR4-NOT complex,cellular_component,7,2209,324,4,cellular response to nitrogen starvation,0
GO:0072546,39,EMC complex,cellular_component,4,97,322,4,regulation of protein localization to cilium,0
GO:0017119,30,Golgi transport complex,cellular_component,7,150,396,5,serine-type endopeptidase inhibitor activity,0
GO:0030126,30,COPI vesicle coat,cellular_component,14,277,397,5,protein stabilization,0
GO:0070578,30,RISC-loading complex,cellular_component,3,640,405,5,positive regulation of protein localization to cilium,0
GO:0000333,25,telomerase catalytic core complex,cellular_component,1,4,450,5,snRNP binding,0
GO:0005761,27,mitochondrial ribosome,cellular_component,34,3534,429,5,endosome,0
GO:0032839,27,dendrite cytoplasm,cellular_component,6,5,430,5,positive regulation of protein modification process,0
GO:0045259,31,proton-transporting ATP synthase complex,cellular_component,23,309,393,5,regulation of lipid metabolic process,0
GO:0030122,26,AP-2 adaptor complex,cellular_component,5,581,440,5,protein insertion into ER membrane,0
GO:0005892,30,acetylcholine-gated channel complex,cellular_component,15,2,402,5,sarcoplasmic reticulum membrane,0
GO:0005955,29,calcineurin complex,cellular_component,4,149,407,5,protein phosphatase type 2A complex,0
GO:0016528,19,sarcoplasm,cellular_component,18,3657,526,6,negative regulation of protein maturation,0
GO:0001527,23,microfibril,cellular_component,10,6701,462,6,blood microparticle,0
GO:0033588,19,elongator holoenzyme complex,cellular_component,3,4,530,6,protein insertion into ER membrane,0
GO:0099078,22,BORC complex,cellular_component,0,95,484,6,regulation of heart looping,0
GO:0098574,19,cytoplasmic side of lysosomal membrane,cellular_component,0,0,519,6,regulation of heart looping,0
GO:1902554,21,serine/threonine protein kinase complex,cellular_component,21,204,493,6,negative regulation of protein maturation,0
GO:0034709,19,methylosome,cellular_component,7,629,529,6,positive regulation of protein autophosphorylation,0
GO:0031092,18,platelet alpha granule membrane,cellular_component,11,341,543,6,positive regulation of protein modification process,0
GO:0042721,18,TIM22 mitochondrial import inner membrane insertion complex,cellular_component,1,0,544,6,positive regulation of protein modification process,0
GO:0031143,18,pseudopodium,cellular_component,5,1010,537,6,positive regulation of protein modification process,0
GO:1990072,14,TRAPPIII protein complex,cellular_component,1,0,629,7,regulation of protein localization to cilium,0
GO:0000812,16,Swr1 complex,cellular_component,7,781,582,7,dynein axonemal rod,0
GO:1990391,14,DNA repair complex,cellular_component,12,1890,627,7,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0140288,14,GBAF complex,cellular_component,0,12,631,7,histone H3K4 acetyltransferase activity,0
GO:0042589,17,zymogen granule membrane,cellular_component,3,356,557,7,positive regulation of protein modification process,0
GO:0031415,17,NatA complex,cellular_component,0,240,550,7,protein stabilization,0
GO:0097440,16,apical dendrite,cellular_component,4,5167,577,7,regulation of heart looping,0
GO:0016586,16,RSC-type complex,cellular_component,1,0,598,7,negative regulation of protein maturation,0
GO:1990316,17,Atg1/ULK1 kinase complex,cellular_component,3,0,554,7,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0008385,16,IkappaB kinase complex,cellular_component,2,4305,590,7,RNA splicing,0
GO:0005584,12,collagen type I trimer,cellular_component,16,38,707,8,collagen type IV trimer,0
GO:0071006,13,U2-type catalytic step 1 spliceosome,cellular_component,5,0,674,8,positive regulation of protein localization to cilium,0
GO:1904930,13,amphisome membrane,cellular_component,1,0,676,8,negative regulation of protein maturation,0
GO:0000930,14,gamma-tubulin complex,cellular_component,0,1039,644,8,mitochondrial translation release factor complex,0
GO:0032021,12,NELF complex,cellular_component,3,327,685,8,positive regulation of protein modification process,0
GO:0097169,13,AIM2 inflammasome complex,cellular_component,1,74,679,8,regulation of protein localization to cilium,0
GO:0160112,13,axonemal B tubule inner sheath,cellular_component,0,0,668,8,mitochondrial inner membrane peptidase complex,0
GO:0044194,14,cytolytic granule,cellular_component,5,883,651,8,endoplasmic reticulum quality control compartment,0
