GO_ID,GO_TERM_ft,pmatch_orig,pmatch_ft,category
GO:0014069,postsynaptic density,0,0,i
GO:0005794,Golgi apparatus,0,0,i
GO:0005764,lysosome,0,0,i
GO:0005929,cilium,0,0,i
GO:0022625,cytosolic large ribosomal subunit,0,0,i
GO:0005741,mitochondrial outer membrane,1,0,l
GO:0005840,ribosome,1,0,l
GO:0005802,trans-Golgi network,0,0,i
GO:0005730,nucleolus,0,1,g
GO:0005615,extracellular space,1,1,c
GO:1903561,extracellular vesicle,0,0,i
GO:0098793,presynapse,0,0,i
GO:0043197,dendritic spine,0,0,i
GO:0000932,P-body,0,0,i
GO:0030659,cytoplasmic vesicle membrane,0,0,i
GO:0000502,proteasome complex,0,0,i
GO:0045171,intercellular bridge,0,0,i
GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,0,0,i
GO:0005762,mitochondrial large ribosomal subunit,0,0,i
GO:0005669,transcription factor TFIID complex,0,0,i
GO:0090543,Flemming body,0,0,i
GO:0031462,Cul2-RING ubiquitin ligase complex,0,0,i
GO:0045177,apical part of cell,0,0,i
GO:0016592,mediator complex,0,0,i
GO:0000813,ESCRT I complex,0,0,i
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,0,0,i
GO:0005879,axonemal microtubule,0,0,i
GO:0071944,cell periphery,0,0,i
GO:0097381,photoreceptor disc membrane,0,0,i
GO:0042645,mitochondrial nucleoid,0,0,i
GO:0035102,PRC1 complex,0,0,i
GO:0000407,phagophore assembly site,0,0,i
GO:0008250,oligosaccharyltransferase complex,0,0,i
GO:0000794,condensed nuclear chromosome,0,0,i
GO:0005791,rough endoplasmic reticulum,0,0,i
GO:0034464,BBSome,0,0,i
GO:0030016,myofibril,0,0,i
GO:0032281,AMPA glutamate receptor complex,0,0,i
GO:0030014,CCR4-NOT complex,0,0,i
GO:0072546,EMC complex,0,0,i
GO:0017119,Golgi transport complex,0,0,i
GO:0030126,COPI vesicle coat,0,0,i
GO:0070578,RISC-loading complex,0,0,i
GO:0000333,telomerase catalytic core complex,0,0,i
GO:0005761,mitochondrial ribosome,0,0,i
GO:0032839,dendrite cytoplasm,0,0,i
GO:0045259,proton-transporting ATP synthase complex,0,0,i
GO:0030122,AP-2 adaptor complex,0,0,i
GO:0005892,acetylcholine-gated channel complex,0,0,i
GO:0005955,calcineurin complex,0,0,i
GO:0016528,sarcoplasm,0,0,i
GO:0001527,microfibril,0,0,i
