GO_ID,GO_TERM_ft,pmatch_orig,pmatch_ft,category
GO:0005685,U1 snRNP,0,1,g
GO:0010008,endosome membrane,1,0,l
GO:0005686,U2 snRNP,0,0,i
GO:0090575,RNA polymerase II transcription regulator complex,0,1,g
GO:0005769,early endosome,0,1,g
GO:0034451,centriolar satellite,0,1,g
GO:0000781,"chromosome, telomeric region",0,1,g
GO:0005912,adherens junction,0,1,g
GO:0001650,fibrillar center,0,1,g
GO:0030496,midbody,0,1,g
GO:0045111,intermediate filament cytoskeleton,0,1,g
GO:0030666,endocytic vesicle membrane,0,1,g
GO:0072562,blood microparticle,0,1,g
GO:0000775,"chromosome, centromeric region",0,0,i
GO:0000786,nucleosome,1,1,c
GO:0045095,keratin filament,0,1,g
GO:0005930,axoneme,0,1,g
GO:0032587,ruffle membrane,0,1,g
GO:0016363,nuclear matrix,0,1,g
GO:0030670,phagocytic vesicle membrane,0,1,g
GO:0001533,cornified envelope,0,1,g
GO:0005876,spindle microtubule,0,1,g
GO:0031011,Ino80 complex,0,1,g
GO:0005697,telomerase holoenzyme complex,0,1,g
GO:0005691,U6atac snRNP,0,0,i
GO:0030992,intraciliary transport particle B,0,0,i
GO:0045335,phagocytic vesicle,0,0,i
GO:0001772,immunological synapse,0,1,g
GO:0044322,endoplasmic reticulum quality control compartment,0,0,i
GO:0005881,cytoplasmic microtubule,0,1,g
GO:0071203,WASH complex,0,0,i
GO:0033162,melanosome membrane,0,0,i
GO:0048188,Set1C/COMPASS complex,0,0,i
GO:0043195,terminal bouton,0,1,g
GO:0033276,transcription factor TFTC complex,0,0,i
GO:0042613,MHC class II protein complex,0,1,g
GO:0031931,TORC1 complex,0,1,g
GO:0016342,catenin complex,0,0,i
GO:0005795,Golgi stack,0,0,i
GO:0000159,protein phosphatase type 2A complex,0,0,i
GO:0031941,filamentous actin,0,0,i
GO:0032426,stereocilium tip,0,0,i
GO:0030127,COPII vesicle coat,0,1,g
GO:0070382,exocytic vesicle,0,0,i
GO:0042105,alpha-beta T cell receptor complex,0,1,g
GO:0031105,septin complex,0,0,i
GO:0043186,P granule,0,0,i
GO:0160111,axonemal A tubule inner sheath,0,0,i
GO:0002177,manchette,0,0,i
GO:0005665,"RNA polymerase II, core complex",0,1,g
GO:1990454,L-type voltage-gated calcium channel complex,0,0,i
GO:0071162,CMG complex,0,0,i
GO:0000939,inner kinetochore,0,1,g
GO:0030121,AP-1 adaptor complex,0,0,i
GO:0030008,TRAPP complex,0,0,i
GO:0016593,Cdc73/Paf1 complex,0,0,i
GO:0099524,postsynaptic cytosol,0,1,g
GO:0120293,dynein axonemal particle,0,0,i
GO:0019773,"proteasome core complex, alpha-subunit complex",0,0,i
GO:0000346,transcription export complex,0,1,g
GO:0060077,inhibitory synapse,0,0,i
GO:0005693,U12 snRNP,0,0,i
GO:0098691,dopaminergic synapse,0,1,g
GO:0061827,sperm head,0,0,i
GO:0045275,respiratory chain complex III,0,1,g
GO:0000800,lateral element,0,1,g
GO:0016471,vacuolar proton-transporting V-type ATPase complex,0,1,g
GO:0033176,proton-transporting V-type ATPase complex,0,0,i
GO:0045252,oxoglutarate dehydrogenase complex,0,0,i
GO:0097255,R2TP complex,0,1,g
GO:0072687,meiotic spindle,0,0,i
GO:0031429,box H/ACA snoRNP complex,0,1,g
GO:0031095,platelet dense tubular network membrane,0,1,g
GO:0070552,BRISC complex,0,0,i
GO:0031232,extrinsic component of external side of plasma membrane,0,1,g
GO:0098837,postsynaptic recycling endosome,0,1,g
GO:1990879,CST complex,0,0,i
GO:0030056,hemidesmosome,0,1,g
GO:0031253,cell projection membrane,0,1,g
GO:0000801,central element,0,0,i
GO:0030124,AP-4 adaptor complex,0,1,g
GO:0042582,azurophil granule,0,0,i
GO:0031461,cullin-RING ubiquitin ligase complex,0,1,g
GO:0097197,tetraspanin-enriched microdomain,0,1,g
GO:0120157,PAR polarity complex,0,0,i
GO:0098843,postsynaptic endocytic zone,0,1,g
GO:0005968,Rab-protein geranylgeranyltransferase complex,0,0,i
GO:0160157,branched-chain alpha-ketoacid dehydrogenase complex,0,0,i
GO:0032437,cuticular plate,0,0,i
GO:0005588,collagen type V trimer,0,1,g
GO:1904949,ATPase complex,0,0,i
GO:0070938,contractile ring,0,0,i
GO:0120200,rod photoreceptor outer segment,0,0,i
GO:1990851,Wnt-Frizzled-LRP5/6 complex,0,0,i
GO:1904602,serotonin-activated cation-selective channel complex,0,0,i
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",0,1,g
GO:0071204,histone pre-mRNA 3'end processing complex,0,0,i
GO:0106333,subcortical maternal complex,0,0,i
GO:1990423,RZZ complex,0,0,i
GO:0005655,nucleolar ribonuclease P complex,0,1,g
GO:0060171,stereocilium membrane,0,0,i
GO:0060342,photoreceptor inner segment membrane,0,0,i
GO:0005945,6-phosphofructokinase complex,0,0,i
GO:0035749,myelin sheath adaxonal region,0,0,i
GO:0044300,cerebellar mossy fiber,0,0,i
GO:0044304,main axon,0,1,g
GO:0008290,F-actin capping protein complex,0,1,g
GO:0001520,outer dense fiber,0,1,g
GO:0070449,elongin complex,0,0,i
GO:0016914,follicle-stimulating hormone complex,0,0,i
GO:0032044,DSIF complex,0,0,i
GO:0098985,"asymmetric, glutamatergic, excitatory synapse",0,1,g
GO:0097342,ripoptosome,0,1,g
GO:0097145,BAK complex,0,0,i
GO:0016939,kinesin II complex,0,0,i
GO:0002079,inner acrosomal membrane,0,1,g
GO:0106003,amyloid-beta complex,0,1,g
GO:0097180,serine protease inhibitor complex,0,0,i
GO:0042720,mitochondrial inner membrane peptidase complex,0,0,i
GO:0005826,actomyosin contractile ring,0,1,g
GO:0061696,pituitary gonadotropin complex,0,0,i
GO:0016507,mitochondrial fatty acid beta-oxidation multienzyme complex,0,0,i
GO:0031515,tRNA (m1A) methyltransferase complex,0,0,i
GO:0098944,postsynaptic recycling endosome membrane,0,0,i
GO:0106002,mCRD-mediated mRNA stability complex,0,0,i
GO:0005642,annulate lamellae,0,0,i
GO:0062157,mitochondrial ATP-gated potassium channel complex,0,0,i
GO:1905347,endodeoxyribonuclease complex,0,0,i
GO:0097728,9+0 motile cilium,0,0,i
GO:0005586,collagen type III trimer,0,1,g
GO:1990406,CGRP receptor complex,0,0,i
GO:0045293,mRNA editing complex,0,0,i
GO:1904090,peptidase inhibitor complex,0,0,i
GO:0034688,integrin alphaM-beta2 complex,0,1,g
GO:1990667,PCSK9-AnxA2 complex,0,0,i
GO:1990357,terminal web,0,0,i
GO:0097196,Shu complex,0,1,g
GO:0071748,monomeric IgA immunoglobulin complex,0,0,i
GO:0070381,endosome to plasma membrane transport vesicle,0,1,g
GO:0005862,muscle thin filament tropomyosin,0,0,i
GO:1990512,Cry-Per complex,0,0,i
GO:0070743,interleukin-23 complex,0,0,i
GO:0070069,cytochrome complex,0,0,i
GO:0070033,synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex,0,1,g
GO:0150048,cerebellar granule cell to Purkinje cell synapse,0,0,i
GO:0061773,eNoSc complex,0,0,i
GO:0061851,leading edge of lamellipodium,0,0,i
GO:0035868,alphav-beta3 integrin-HMGB1 complex,0,0,i
GO:0044753,amphisome,0,0,i
GO:0031391,Elg1 RFC-like complex,0,0,i
GO:0000262,mitochondrial chromosome,0,0,i
GO:0045098,type III intermediate filament,0,1,g
GO:1990425,ryanodine receptor complex,0,0,i
GO:0097519,DNA recombinase complex,0,0,i
GO:1990590,ATF1-ATF4 transcription factor complex,0,0,i
GO:1990711,beta-catenin-ICAT complex,0,1,g
GO:0032156,septin cytoskeleton,0,0,i
GO:0070443,Mad-Max complex,0,0,i
GO:0033011,perinuclear theca,0,1,g
GO:0008328,ionotropic glutamate receptor complex,0,0,i
GO:1905360,GTPase complex,0,0,i
GO:0097014,ciliary plasm,0,0,i
GO:0031501,mannosyltransferase complex,0,1,g
GO:1990566,I(KACh) inward rectifier potassium channel complex,0,0,i
GO:1990728,mitotic spindle assembly checkpoint MAD1-MAD2 complex,0,0,i
GO:1990647,C/EBP complex,0,0,i
GO:0097133,cyclin D3-CDK6 complex,0,0,i
GO:0032476,polyprenyl diphosphate synthase complex,0,0,i
GO:0071133,alpha9-beta1 integrin-ADAM8 complex,0,0,i
GO:0140240,perforant pathway to dendrate granule cell synapse,0,0,i
GO:0005969,serine-pyruvate aminotransferase complex,0,0,i
GO:1990620,ANPR-A receptor complex,0,0,i
GO:0150056,amylin receptor complex 1,0,0,i
GO:0097181,protein C inhibitor-coagulation factor V complex,0,0,i
GO:0031906,late endosome lumen,0,1,g
GO:0070210,Rpd3L-Expanded complex,0,0,i
GO:0035841,new growing cell tip,0,0,i
GO:0034777,recycling endosome lumen,0,1,g
GO:1990047,spindle matrix,0,0,i
GO:0043073,germ cell nucleus,0,1,g
GO:0034718,SMN-Gemin2 complex,0,1,g
GO:0070826,paraferritin complex,0,0,i
GO:1990706,MAD1 complex,0,0,i
GO:1902912,pyruvate kinase complex,0,0,i
GO:0031475,myosin V complex,0,1,g
GO:0033593,BRCA2-MAGE-D1 complex,0,0,i
GO:0071513,phosphopantothenoylcysteine decarboxylase complex,0,1,g
GO:1990038,Lewy body corona,0,0,i
GO:0035838,growing cell tip,0,0,i
GO:0045267,"proton-transporting ATP synthase, catalytic core",0,0,i
GO:0005700,polytene chromosome,0,1,g
GO:0044207,translation initiation ternary complex,0,0,i
GO:0009360,DNA polymerase III complex,0,1,g
GO:0120231,DNA recombinase auxiliary factor complex,0,0,i
GO:0120134,proximal portion of axoneme,0,1,g
GO:0090498,extrinsic component of Golgi membrane,0,0,i
GO:0097471,mossy fiber rosette,0,0,i
GO:0044225,apical pole of neuron,0,1,g
GO:0043528,tRNA (m2G10) methyltransferase complex,0,0,i
GO:0097409,glial cytoplasmic inclusion,0,0,i
GO:0006099,tricarboxylic acid cycle,1,1,c
GO:0006487,protein N-linked glycosylation,0,1,g
GO:0097191,extrinsic apoptotic signaling pathway,0,1,g
GO:0002931,response to ischemia,0,1,g
GO:0051321,meiotic cell cycle,0,1,g
GO:2000648,positive regulation of stem cell proliferation,0,0,i
GO:0050821,protein stabilization,0,0,i
GO:0007094,mitotic spindle assembly checkpoint signaling,0,0,i
GO:0048812,neuron projection morphogenesis,0,1,g
GO:0060041,retina development in camera-type eye,0,1,g
GO:0045050,protein insertion into ER membrane by stop-transfer membrane-anchor sequence,0,0,i
GO:0051966,"regulation of synaptic transmission, glutamatergic",0,1,g
GO:0008033,tRNA processing,0,1,g
GO:0000422,autophagy of mitochondrion,0,0,i
GO:0019216,regulation of lipid metabolic process,1,1,c
GO:0032727,positive regulation of interferon-alpha production,0,1,g
GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,0,0,i
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0,1,g
GO:0042542,response to hydrogen peroxide,0,1,g
GO:0030214,hyaluronan catabolic process,0,0,i
GO:0038066,p38MAPK cascade,0,1,g
GO:0097435,supramolecular fiber organization,0,1,g
GO:0140042,lipid droplet formation,0,0,i
GO:0010996,response to auditory stimulus,0,1,g
GO:0085020,protein K6-linked ubiquitination,0,0,i
GO:0032502,developmental process,0,1,g
GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0,1,g
GO:0006939,smooth muscle contraction,0,0,i
GO:0033619,membrane protein proteolysis,0,0,i
GO:0048015,phosphatidylinositol-mediated signaling,0,1,g
GO:0071498,cellular response to fluid shear stress,0,1,g
GO:0007208,phospholipase C-activating serotonin receptor signaling pathway,0,0,i
GO:0035162,embryonic hemopoiesis,0,1,g
GO:0006892,post-Golgi vesicle-mediated transport,0,0,i
GO:0010763,positive regulation of fibroblast migration,0,1,g
GO:0033630,positive regulation of cell adhesion mediated by integrin,0,0,i
GO:0030311,poly-N-acetyllactosamine biosynthetic process,0,1,g
GO:0043200,response to amino acid,0,1,g
