hpo_id,hpo_term_ft,pmatch_orig,pmatch_ft,category
HP:0007957,Corneal opacity,0,0,i
HP:0002078,Truncal ataxia,0,0,i
HP:0001974,Leukocytosis,0,0,i
HP:0002149,Hyperuricemia,0,0,i
HP:0002064,Spastic gait,0,0,i
HP:0001510,Growth delay,0,0,i
HP:0000772,Abnormal rib morphology,0,0,i
HP:0000548,Cone/cone-rod dystrophy,0,0,i
HP:0000019,Urinary hesitancy,0,0,i
HP:0002208,Coarse hair,0,0,i
HP:0000608,Macular degeneration,0,0,i
HP:0012471,Thick vermilion border,0,0,i
HP:0001894,Thrombocytosis,0,0,i
HP:0002119,Ventriculomegaly,0,0,i
HP:0003323,Progressive muscle weakness,0,0,i
HP:0002714,Downturned corners of mouth,0,0,i
HP:0004326,Cachexia,0,0,i
HP:0001385,Hip dysplasia,0,0,i
HP:0010978,Abnormality of immune system physiology,0,0,i
HP:0001276,Hypertonia,0,0,i
HP:0007440,Generalized hyperpigmentation,0,0,i
HP:0002548,Parkinsonism with favorable response to dopaminergic medication,0,0,i
HP:0001328,Specific learning disability,0,0,i
HP:0001998,Neonatal hypoglycemia,0,0,i
HP:0002133,Status epilepticus,0,0,i
HP:0002827,Hip dislocation,0,0,i
HP:0000958,Dry skin,0,0,i
HP:0003327,Axial muscle weakness,0,0,i
HP:0000097,Focal segmental glomerulosclerosis,0,0,i
HP:0002783,Recurrent lower respiratory tract infections,0,0,i
HP:0002841,Recurrent fungal infections,0,0,i
HP:0007874,Almond-shaped palpebral fissure,0,0,i
HP:0012639,Abnormal nervous system morphology,0,0,i
HP:0002540,Inability to walk,0,0,i
HP:0001930,Nonspherocytic hemolytic anemia,0,0,i
HP:0002167,Abnormal speech pattern,0,0,i
HP:0000003,Multicystic kidney dysplasia,0,0,i
HP:0008610,Infantile sensorineural hearing impairment,0,0,i
HP:0011885,Hemorrhage of the eye,0,0,i
HP:0100544,Neoplasm of the heart,0,0,i
HP:0006270,Hypoplastic spleen,0,0,i
HP:0000008,Abnormal morphology of female internal genitalia,0,0,i
HP:0005863,Type E brachydactyly,0,0,i
HP:0001199,Triphalangeal thumb,0,0,i
HP:0002113,Pulmonary infiltrates,0,0,i
HP:0000594,Shallow anterior chamber,0,0,i
HP:0000887,Cupped ribs,0,0,i
