hpo_id,hpo_term_ft,pmatch_orig,pmatch_ft,category
HP:0000465,Webbed neck,0,1,g
HP:0000470,Short neck,0,1,g
HP:0000527,Long eyelashes,0,1,g
HP:0000162,Glossoptosis,0,0,i
HP:0001258,Spastic paraplegia,0,1,g
HP:0002027,Abdominal pain,0,1,g
HP:0003124,Hypercholesterolemia,0,1,g
HP:0001290,Generalized hypotonia,0,1,g
HP:0002134,Abnormal basal ganglia morphology,0,1,g
HP:0011042,Abnormal blood potassium concentration,0,0,i
HP:0000718,Aggressive behavior,1,1,c
HP:0004325,Decreased body weight,0,0,i
HP:0000375,Abnormal cochlea morphology,0,1,g
HP:0010976,B lymphocytopenia,0,0,i
HP:0002750,Delayed skeletal maturation,0,1,g
HP:0002342,"Intellectual disability, moderate",0,1,g
HP:0005407,Decreased proportion of CD4-positive helper T cells,0,1,g
HP:0002120,Cerebral cortical atrophy,0,0,i
HP:0000029,Testicular atrophy,0,1,g
HP:0001279,Syncope,0,1,g
HP:0001531,Failure to thrive in infancy,0,1,g
HP:0001945,Fever,1,1,c
HP:0006530,Abnormal pulmonary interstitial morphology,0,1,g
HP:0002900,Hypokalemia,0,1,g
HP:0000786,Primary amenorrhea,0,1,g
HP:0000689,Dental malocclusion,0,1,g
HP:0000272,Malar flattening,0,1,g
HP:0006829,Severe muscular hypotonia,0,1,g
HP:0008944,Distal lower limb amyotrophy,0,0,i
HP:0001387,Joint stiffness,1,1,c
HP:0034364,Fibrofatty replacement of right ventricular myocardium,0,0,i
HP:0008369,Abnormal tarsal ossification,0,1,g
HP:0001596,Alopecia,0,1,g
HP:0003355,Aminoaciduria,0,1,g
HP:0002170,Intracranial hemorrhage,0,1,g
HP:0001591,Bell-shaped thorax,0,1,g
HP:0002586,Peritonitis,0,1,g
HP:0004871,Perineal fistula,0,0,i
HP:0004493,Craniofacial hyperostosis,0,0,i
HP:0000944,Abnormal metaphysis morphology,0,1,g
HP:0007477,Abnormal dermatoglyphics,0,1,g
HP:0000963,Thin skin,0,1,g
HP:0011001,Increased bone mineral density,0,0,i
HP:0006520,Progressive pulmonary function impairment,0,1,g
HP:0007601,Midline facial capillary hemangioma,0,0,i
HP:0002913,Myoglobinuria,0,1,g
HP:0001543,Gastroschisis,0,1,g
HP:0001525,Severe failure to thrive,0,1,g
HP:0005743,Avascular necrosis of the capital femoral epiphysis,0,0,i
HP:0000388,Otitis media,0,1,g
HP:0003075,Hypoproteinemia,0,1,g
HP:0000592,Blue sclerae,0,1,g
HP:0010295,Aplasia/Hypoplasia of the tongue,0,0,i
HP:0000230,Gingivitis,0,1,g
HP:0000152,Abnormality of head or neck,0,1,g
HP:0001922,Vacuolated lymphocytes,0,1,g
