GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_term,pmatch
GO:0005685,354,U1 snRNP,cellular_component,12,5165,57,1,anaphase-promoting complex,0
GO:0010008,769,endosome membrane,cellular_component,38,2590,33,1,endosome to lysosome transport,0
GO:0005686,316,U2 snRNP,cellular_component,6,3763,62,1,U12-type spliceosomal complex,0
GO:0090575,223,RNA polymerase II transcription regulator complex,cellular_component,42,110,86,1,RNA polymerase II transcription factor recruiting,0
GO:0005769,439,early endosome,cellular_component,33,13725,49,1,lysosome,0
GO:0034451,303,centriolar satellite,cellular_component,5,716,65,1,mitochondrial part,0
GO:0000781,250,"chromosome, telomeric region",cellular_component,19,66,78,1,chromosome,0
GO:0005912,239,adherens junction,cellular_component,87,19921,81,1,cell junction,0
GO:0001650,359,fibrillar center,cellular_component,11,589,56,1,fibrinogen complex,0
GO:0030496,288,midbody,cellular_component,60,8728,69,1,midbody,1
GO:0045111,133,intermediate filament cytoskeleton,cellular_component,52,1522,146,2,intercellular junction assembly,0
GO:0030666,118,endocytic vesicle membrane,cellular_component,36,307,159,2,endoplasmic reticulum to Golgi vesicle-mediated transport,0
GO:0072562,142,blood microparticle,cellular_component,117,602,135,2,blood coagulation,0
GO:0000775,128,"chromosome, centromeric region",cellular_component,92,359,148,2,chromatin,0
GO:0000786,150,nucleosome,cellular_component,160,68283,127,2,nucleosome,1
GO:0045095,123,keratin filament,cellular_component,60,1496,155,2,keratin filament,1
GO:0005930,182,axoneme,cellular_component,37,8188,105,2,axoneme,1
GO:0032587,114,ruffle membrane,cellular_component,17,17,163,2,rRNA primary transcript binding,0
GO:0016363,140,nuclear matrix,cellular_component,23,12678,140,2,histone mRNA metabolic process,0
GO:0030670,111,phagocytic vesicle membrane,cellular_component,19,86,167,2,cytoplasmic ribonucleoprotein granule,0
GO:0001533,83,cornified envelope,cellular_component,63,3550,190,3,cytoskeleton organization,0
GO:0005876,54,spindle microtubule,cellular_component,35,2889,255,3,spindle microtubule,1
GO:0031011,48,Ino80 complex,cellular_component,9,1136,273,3,regulation of cilium assembly,0
GO:0005697,50,telomerase holoenzyme complex,cellular_component,12,124,271,3,nucleolus,0
GO:0005691,63,U6atac snRNP,cellular_component,0,23,232,3,telomere,0
GO:0030992,52,intraciliary transport particle B,cellular_component,1,2,262,3,"proton-transporting ATP synthase complex, catalytic core",0
GO:0045335,74,phagocytic vesicle,cellular_component,27,435,208,3,phospholipid biosynthetic process,0
GO:0001772,57,immunological synapse,cellular_component,45,13247,251,3,demethylation,0
GO:0044322,56,endoplasmic reticulum quality control compartment,cellular_component,2,1,252,3,protein complex oligomerization,0
GO:0005881,71,cytoplasmic microtubule,cellular_component,10,1367,215,3,plasma membrane,0
GO:0071203,39,WASH complex,cellular_component,2,971,319,4,histone H3-K4 demethylation,0
GO:0033162,37,melanosome membrane,cellular_component,10,337,341,4,negative regulation of protein complex assembly,0
GO:0048188,41,Set1C/COMPASS complex,cellular_component,4,0,306,4,negative regulation of fibroblast proliferation,0
GO:0043195,47,terminal bouton,cellular_component,14,375,280,4,anchored component of membrane,0
GO:0033276,36,transcription factor TFTC complex,cellular_component,4,1,344,4,response to vitamin,0
GO:0042613,45,MHC class II protein complex,cellular_component,88,717,291,4,MHC class II protein complex,1
GO:0031931,37,TORC1 complex,cellular_component,2,691,336,4,neural crest cell migration,0
GO:0016342,42,catenin complex,cellular_component,14,1994,301,4,protein heterotetramerization,0
GO:0005795,41,Golgi stack,cellular_component,5,2489,310,4,histone acetyltransferase complex,0
GO:0000159,38,protein phosphatase type 2A complex,cellular_component,7,42,323,4,protein phosphatase type 2A complex,1
GO:0031941,33,filamentous actin,cellular_component,9,16302,374,5,filamentous actin,1
GO:0032426,26,stereocilium tip,cellular_component,0,12,432,5,protein localization to endoplasmic reticulum,0
GO:0030127,33,COPII vesicle coat,cellular_component,14,415,372,5,plasma membrane,0
GO:0070382,32,exocytic vesicle,cellular_component,14,503,378,5,transcription from RNA polymerase II promoter,0
GO:0042105,27,alpha-beta T cell receptor complex,cellular_component,9,35,427,5,olfactory receptor activity,0
GO:0031105,31,septin complex,cellular_component,3,442,391,5,DNA ligation,0
GO:0043186,28,P granule,cellular_component,10,1502,416,5,macromolecular complex,0
GO:0160111,34,axonemal A tubule inner sheath,cellular_component,0,0,366,5,response to interferon-alpha,0
GO:0002177,27,manchette,cellular_component,2,924,423,5,ribonucleoprotein complex biogenesis,0
GO:0005665,30,"RNA polymerase II, core complex",cellular_component,13,0,398,5,"DNA-directed RNA polymerase II, core complex",0
GO:1990454,20,L-type voltage-gated calcium channel complex,cellular_component,4,0,511,6,regulation of cellular response to stress,0
GO:0071162,21,CMG complex,cellular_component,5,763,496,6,negative regulation of protein localization to plasma membrane,0
GO:0000939,19,inner kinetochore,cellular_component,1,1306,522,6,condensed nuclear chromosome,0
GO:0030121,19,AP-1 adaptor complex,cellular_component,1,308,523,6,positive regulation of phospholipase activity,0
GO:0030008,22,TRAPP complex,cellular_component,5,482,477,6,reproductive process,0
GO:0016593,18,Cdc73/Paf1 complex,cellular_component,4,20,542,6,galactosyltransferase activity,0
GO:0099524,23,postsynaptic cytosol,cellular_component,1,27,464,6,regulation of cellular response to stress,0
GO:0120293,22,dynein axonemal particle,cellular_component,1,3,478,6,None,0
GO:0019773,22,"proteasome core complex, alpha-subunit complex",cellular_component,23,0,481,6,protein containing complex,0
GO:0000346,21,transcription export complex,cellular_component,6,313,495,6,transcriptional regulation of mitochondrial translation,0
GO:0060077,15,inhibitory synapse,cellular_component,5,5044,614,7,regulation of post-embryonic development,0
GO:0005693,15,U12 snRNP,cellular_component,0,84,610,7,nucleus,0
GO:0098691,17,dopaminergic synapse,cellular_component,4,1471,563,7,regulation of cellular response to stimulus,0
GO:0061827,17,sperm head,cellular_component,2,5961,570,7,regulation of cell growth,0
GO:0045275,16,respiratory chain complex III,cellular_component,7,841,595,7,cell wall organization,0
GO:0000800,16,lateral element,cellular_component,3,557,593,7,DNA repair,0
GO:0016471,16,vacuolar proton-transporting V-type ATPase complex,cellular_component,12,0,579,7,cell migration,0
GO:0033176,17,proton-transporting V-type ATPase complex,cellular_component,14,87,562,7,"proton-transporting ATP synthase complex, catalytic core",0
GO:0045252,16,oxoglutarate dehydrogenase complex,cellular_component,0,457,596,7,cell wall modification,0
GO:0097255,15,R2TP complex,cellular_component,0,359,599,7,cellular response to oxygen levels,0
GO:0072687,14,meiotic spindle,cellular_component,4,4999,643,8,single strand break repair,0
GO:0031429,12,box H/ACA snoRNP complex,cellular_component,1,0,692,8,"hydrolase activity, acting on ester bonds",0
GO:0031095,13,platelet dense tubular network membrane,cellular_component,3,8,659,8,receptor internalization,0
GO:0070552,12,BRISC complex,cellular_component,0,93,724,8,response to interleukin-1,0
GO:0031232,12,extrinsic component of external side of plasma membrane,cellular_component,11,0,716,8,regulation of nucleic acid-templated transcription,0
GO:0098837,12,postsynaptic recycling endosome,cellular_component,0,0,712,8,cellular response to DNA damage stimulus,0
GO:1990879,12,CST complex,cellular_component,0,707,709,8,regulation of cellular response to stimulus,0
GO:0030056,13,hemidesmosome,cellular_component,7,2387,662,8,cellular iron ion homeostasis,0
GO:0031253,13,cell projection membrane,cellular_component,21,115,678,8,cellular response to a stimulus,0
GO:0000801,12,central element,cellular_component,1,8851,687,8,transcription of nuclear large rRNA transcript from RNA polymerase I promoter,0
GO:0030124,11,AP-4 adaptor complex,cellular_component,0,24,741,9,transcriptional elongation from RNA polymerase II promoter,0
GO:0042582,11,azurophil granule,cellular_component,15,582,754,9,commodification of nitrogen compounds,0
GO:0031461,9,cullin-RING ubiquitin ligase complex,cellular_component,17,328,818,9,Cul4-RING E3 ubiquitin ligase complex,0
GO:0097197,10,tetraspanin-enriched microdomain,cellular_component,1,157,809,9,exocyst localization,0
GO:0120157,9,PAR polarity complex,cellular_component,0,469,814,9,regulation of cellular response to stress,0
GO:0098843,10,postsynaptic endocytic zone,cellular_component,0,3,805,9,axoneme assembly,0
GO:0005968,10,Rab-protein geranylgeranyltransferase complex,cellular_component,2,3,789,9,phosphoenolpyruvate carboxykinase activity,0
GO:0160157,11,branched-chain alpha-ketoacid dehydrogenase complex,cellular_component,0,371,737,9,regulation of macroautophagy,0
GO:0032437,11,cuticular plate,cellular_component,0,1193,732,9,receptor internalization,0
GO:0005588,11,collagen type V trimer,cellular_component,5,0,748,9,collagen type IV trimer,0
GO:1904949,8,ATPase complex,cellular_component,9,3475,909,10,regulation of response to osmotic stress,0
GO:0070938,8,contractile ring,cellular_component,2,4567,889,10,cellular response to DNA damage stimulus,0
GO:0120200,9,rod photoreceptor outer segment,cellular_component,0,203,841,10,None,0
GO:1990851,8,Wnt-Frizzled-LRP5/6 complex,cellular_component,1,0,903,10,regulation of cellular response to hypoxia,0
GO:1904602,8,serotonin-activated cation-selective channel complex,cellular_component,0,0,879,10,regulation of protein complex localization,0
GO:0045263,9,"proton-transporting ATP synthase complex, coupling factor F(o)",cellular_component,18,31,821,10,protein complex,0
GO:0071204,8,histone pre-mRNA 3'end processing complex,cellular_component,0,1,892,10,histone H3-K4 trimethylation,0
GO:0106333,8,subcortical maternal complex,cellular_component,0,292,864,10,None,0
GO:1990423,9,RZZ complex,cellular_component,0,294,827,10,mitochondrial outer membrane permeabilization,0
GO:0005655,8,nucleolar ribonuclease P complex,cellular_component,2,9,860,10,nuclear nucleosome,0
GO:0060171,7,stereocilium membrane,cellular_component,1,3,937,11,organ morphogenesis,0
GO:0060342,6,photoreceptor inner segment membrane,cellular_component,0,2,978,11,response to nutrient,0
GO:0005945,7,6-phosphofructokinase complex,cellular_component,5,17,964,11,phosphoinositide 3-kinase complex,0
GO:0035749,7,myelin sheath adaxonal region,cellular_component,2,1,926,11,mitochondrial outer membrane permeabilization,0
GO:0044300,7,cerebellar mossy fiber,cellular_component,2,558,914,11,autophagy,0
GO:0044304,7,main axon,cellular_component,13,836,949,11,autophagy,0
GO:0008290,8,F-actin capping protein complex,cellular_component,3,29,912,11,i-kappaB kinase/NF-kappaB cascade,0
GO:0001520,7,outer dense fiber,cellular_component,3,761,975,11,neural crest cell development,0
GO:0070449,7,elongin complex,cellular_component,1,65,965,11,lysosome organization,0
GO:0016914,7,follicle-stimulating hormone complex,cellular_component,1,1,938,11,transferase activity,0
GO:0032044,6,DSIF complex,cellular_component,1,156,1044,12,small molecule metabolic process,0
GO:0098985,6,"asymmetric, glutamatergic, excitatory synapse",cellular_component,1,0,1060,12,response to nutrient,0
GO:0097342,6,ripoptosome,cellular_component,2,973,1053,12,response to inorganic substance,0
GO:0097145,5,BAK complex,cellular_component,0,56,1084,12,cellular response to acidic pH,0
GO:0016939,5,kinesin II complex,cellular_component,0,141,1079,12,mitochondrial outer membrane permeabilization,0
GO:0002079,6,inner acrosomal membrane,cellular_component,2,379,1056,12,filamentous growth,0
GO:0106003,6,amyloid-beta complex,cellular_component,0,6,1013,12,None,0
GO:0097180,6,serine protease inhibitor complex,cellular_component,2,0,1063,12,cellular response to lipopolysaccharide,0
GO:0042720,5,mitochondrial inner membrane peptidase complex,cellular_component,1,34,1091,12,regulation of cell cycle,0
GO:0005826,5,actomyosin contractile ring,cellular_component,4,663,1076,12,cytosol,0
GO:0061696,5,pituitary gonadotropin complex,cellular_component,0,0,1154,13,regulation of cell cycle process,0
GO:0016507,5,mitochondrial fatty acid beta-oxidation multienzyme complex,cellular_component,2,2,1133,13,protein modification process,0
GO:0031515,5,tRNA (m1A) methyltransferase complex,cellular_component,0,1,1117,13,poly(A)+ mRNA export from nucleus,0
GO:0098944,5,postsynaptic recycling endosome membrane,cellular_component,0,0,1147,13,cellular response to fatty acid,0
GO:0106002,5,mCRD-mediated mRNA stability complex,cellular_component,0,0,1153,13,None,0
GO:0005642,5,annulate lamellae,cellular_component,1,606,1141,13,nuclear pore outer ring,0
GO:0062157,4,mitochondrial ATP-gated potassium channel complex,cellular_component,0,0,1161,13,regulation of protein stability,0
GO:1905347,5,endodeoxyribonuclease complex,cellular_component,0,0,1123,13,regulation of response to osmotic stress,0
GO:0097728,5,9+0 motile cilium,cellular_component,1,0,1102,13,vesicle-mediated transport,0
GO:0005586,5,collagen type III trimer,cellular_component,4,0,1114,13,cubic membrane,0
GO:1990406,4,CGRP receptor complex,cellular_component,0,111,1255,14,regulation of cellular response to hypoxia,0
GO:0045293,4,mRNA editing complex,cellular_component,0,124,1256,14,tRNA (cytosine-5-)-methyltransferase activity,0
GO:1904090,4,peptidase inhibitor complex,cellular_component,0,1,1268,14,positive regulation of cellular response to stimulus,0
GO:0034688,4,integrin alphaM-beta2 complex,cellular_component,0,0,1214,14,protein homodimerization activity,0
GO:1990667,4,PCSK9-AnxA2 complex,cellular_component,0,0,1240,14,mitochondrial outer membrane permeabilization,0
GO:1990357,4,terminal web,cellular_component,2,1088,1233,14,regulation of cellular response to DNA damage stimulus,0
GO:0097196,4,Shu complex,cellular_component,1,217,1203,14,exocyst localization,0
GO:0071748,4,monomeric IgA immunoglobulin complex,cellular_component,0,0,1247,14,cellular response to nitrogen levels,0
GO:0070381,4,endosome to plasma membrane transport vesicle,cellular_component,0,0,1212,14,cellular response to acid chemical,0
GO:0005862,4,muscle thin filament tropomyosin,cellular_component,6,25,1189,14,inhibition of transcription from RNA polymerase II promoter,0
GO:1990512,3,Cry-Per complex,cellular_component,1,0,1318,15,negative regulation of cellular response to insulin stimulus,0
GO:0070743,3,interleukin-23 complex,cellular_component,0,0,1347,15,response to sulfur dioxide,0
GO:0070069,3,cytochrome complex,cellular_component,16,686,1278,15,regulation of cell shape,0
GO:0070033,3,synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex,cellular_component,1,0,1313,15,telomere maintenance,0
GO:0150048,3,cerebellar granule cell to Purkinje cell synapse,cellular_component,0,0,1335,15,positive regulation of cellular response to stress,0
GO:0061773,3,eNoSc complex,cellular_component,1,12,1321,15,histone H3-K4 trimethylation,0
GO:0061851,3,leading edge of lamellipodium,cellular_component,0,0,1341,15,protein import into mitochondrial outer membrane,0
GO:0035868,3,alphav-beta3 integrin-HMGB1 complex,cellular_component,0,0,1351,15,cellular response to growth factor stimulus,0
GO:0044753,3,amphisome,cellular_component,1,809,1296,15,single-organism metabolic process,0
GO:0031391,3,Elg1 RFC-like complex,cellular_component,1,0,1315,15,cis-regulatory region sequence-specific DNA binding,0
GO:0000262,2,mitochondrial chromosome,cellular_component,0,956,1428,16,mitotic spindle assembly,0
GO:0045098,3,type III intermediate filament,cellular_component,2,1158,1391,16,regulation of gene expression,0
GO:1990425,2,ryanodine receptor complex,cellular_component,0,576,1419,16,regulation of cellular response to DNA damage stimulus,0
GO:0097519,2,DNA recombinase complex,cellular_component,0,0,1414,16,cellular potassium ion homeostasis,0
GO:1990590,3,ATF1-ATF4 transcription factor complex,cellular_component,0,1,1373,16,regulation of cellular response to vascular endothelial growth factor stimulus,0
GO:1990711,2,beta-catenin-ICAT complex,cellular_component,0,2,1454,16,regulation of cellular response to stress,0
GO:0032156,2,septin cytoskeleton,cellular_component,0,671,1430,16,regulation of cell differentiation,0
