GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_id,pmatch
GO:0005685,354,U1 snRNP,cellular_component,12,5165,57,1,GO:0005685,1
GO:0010008,769,endosome membrane,cellular_component,38,2590,33,1,GO:0010008,1
GO:0005686,316,U2 snRNP,cellular_component,6,3763,62,1,GO:0005685,0
GO:0090575,223,RNA polymerase II transcription regulator complex,cellular_component,42,110,86,1,GO:0016592,0
GO:0005769,439,early endosome,cellular_component,33,13725,49,1,GO:0005769,1
GO:0034451,303,centriolar satellite,cellular_component,5,716,65,1,GO:0035866,0
GO:0000781,250,"chromosome, telomeric region",cellular_component,19,66,78,1,GO:0000781,1
GO:0005912,239,adherens junction,cellular_component,87,19921,81,1,GO:0005912,1
GO:0001650,359,fibrillar center,cellular_component,11,589,56,1,GO:0044451,0
GO:0030496,288,midbody,cellular_component,60,8728,69,1,GO:0032153,0
GO:0045111,133,intermediate filament cytoskeleton,cellular_component,52,1522,146,2,GO:0005859,0
GO:0030666,118,endocytic vesicle membrane,cellular_component,36,307,159,2,GO:0030666,1
GO:0072562,142,blood microparticle,cellular_component,117,602,135,2,GO:0072562,1
GO:0000775,128,"chromosome, centromeric region",cellular_component,92,359,148,2,GO:0000781,0
GO:0000786,150,nucleosome,cellular_component,160,68283,127,2,GO:0000786,1
GO:0045095,123,keratin filament,cellular_component,60,1496,155,2,GO:0045095,1
GO:0005930,182,axoneme,cellular_component,37,8188,105,2,GO:0005930,1
GO:0032587,114,ruffle membrane,cellular_component,17,17,163,2,GO:0001775,0
GO:0016363,140,nuclear matrix,cellular_component,23,12678,140,2,GO:0016602,0
GO:0030670,111,phagocytic vesicle membrane,cellular_component,19,86,167,2,GO:0030667,0
GO:0001533,83,cornified envelope,cellular_component,63,3550,190,3,GO:0001533,1
GO:0005876,54,spindle microtubule,cellular_component,35,2889,255,3,GO:0005876,1
GO:0031011,48,Ino80 complex,cellular_component,9,1136,273,3,GO:0035098,0
GO:0005697,50,telomerase holoenzyme complex,cellular_component,12,124,271,3,GO:0005697,1
GO:0005691,63,U6atac snRNP,cellular_component,0,23,232,3,GO:0030593,0
GO:0030992,52,intraciliary transport particle B,cellular_component,1,2,262,3,GO:0030992,1
GO:0045335,74,phagocytic vesicle,cellular_component,27,435,208,3,GO:0045071,0
GO:0001772,57,immunological synapse,cellular_component,45,13247,251,3,GO:1990772,0
GO:0044322,56,endoplasmic reticulum quality control compartment,cellular_component,2,1,252,3,GO:0030435,0
GO:0005881,71,cytoplasmic microtubule,cellular_component,10,1367,215,3,GO:0005875,0
GO:0071203,39,WASH complex,cellular_component,2,971,319,4,GO:0030695,0
GO:0033162,37,melanosome membrane,cellular_component,10,337,341,4,GO:0033160,0
GO:0048188,41,Set1C/COMPASS complex,cellular_component,4,0,306,4,GO:0046549,0
GO:0043195,47,terminal bouton,cellular_component,14,375,280,4,GO:0043198,0
GO:0033276,36,transcription factor TFTC complex,cellular_component,4,1,344,4,GO:0000124,0
GO:0042613,45,MHC class II protein complex,cellular_component,88,717,291,4,GO:0042613,1
GO:0031931,37,TORC1 complex,cellular_component,2,691,336,4,GO:0031932,0
GO:0016342,42,catenin complex,cellular_component,14,1994,301,4,GO:0016342,1
GO:0005795,41,Golgi stack,cellular_component,5,2489,310,4,GO:0005794,0
GO:0000159,38,protein phosphatase type 2A complex,cellular_component,7,42,323,4,GO:0005820,0
GO:0031941,33,filamentous actin,cellular_component,9,16302,374,5,GO:0031941,1
GO:0032426,26,stereocilium tip,cellular_component,0,12,432,5,GO:0032425,0
GO:0030127,33,COPII vesicle coat,cellular_component,14,415,372,5,GO:0030126,0
GO:0070382,32,exocytic vesicle,cellular_component,14,503,378,5,GO:0005770,0
GO:0042105,27,alpha-beta T cell receptor complex,cellular_component,9,35,427,5,GO:0042105,1
GO:0031105,31,septin complex,cellular_component,3,442,391,5,GO:0015629,0
GO:0043186,28,P granule,cellular_component,10,1502,416,5,GO:0000932,0
GO:0160111,34,axonemal A tubule inner sheath,cellular_component,0,0,366,5,GO:0097546,0
GO:0002177,27,manchette,cellular_component,2,924,423,5,GO:0005876,0
GO:0005665,30,"RNA polymerase II, core complex",cellular_component,13,0,398,5,GO:0005665,1
GO:1990454,20,L-type voltage-gated calcium channel complex,cellular_component,4,0,511,6,GO:0005891,0
GO:0071162,21,CMG complex,cellular_component,5,763,496,6,GO:0044451,0
GO:0000939,19,inner kinetochore,cellular_component,1,1306,522,6,GO:0000775,0
GO:0030121,19,AP-1 adaptor complex,cellular_component,1,308,523,6,GO:0030117,0
GO:0030008,22,TRAPP complex,cellular_component,5,482,477,6,GO:0030695,0
GO:0016593,18,Cdc73/Paf1 complex,cellular_component,4,20,542,6,GO:0042787,0
GO:0099524,23,postsynaptic cytosol,cellular_component,1,27,464,6,GO:0098836,0
GO:0120293,22,dynein axonemal particle,cellular_component,1,3,478,6,GO:0032800,0
GO:0019773,22,"proteasome core complex, alpha-subunit complex",cellular_component,23,0,481,6,GO:0005838,0
GO:0000346,21,transcription export complex,cellular_component,6,313,495,6,GO:0000346,1
GO:0060077,15,inhibitory synapse,cellular_component,5,5044,614,7,GO:0060076,0
GO:0005693,15,U12 snRNP,cellular_component,0,84,610,7,GO:0005685,0
GO:0098691,17,dopaminergic synapse,cellular_component,4,1471,563,7,GO:0098978,0
GO:0061827,17,sperm head,cellular_component,2,5961,570,7,GO:0097225,0
GO:0045275,16,respiratory chain complex III,cellular_component,7,841,595,7,GO:0005750,0
GO:0000800,16,lateral element,cellular_component,3,557,593,7,GO:0000793,0
GO:0016471,16,vacuolar proton-transporting V-type ATPase complex,cellular_component,12,0,579,7,GO:0000220,0
GO:0033176,17,proton-transporting V-type ATPase complex,cellular_component,14,87,562,7,GO:0005753,0
GO:0045252,16,oxoglutarate dehydrogenase complex,cellular_component,0,457,596,7,GO:0005967,0
GO:0097255,15,R2TP complex,cellular_component,0,359,599,7,GO:0032038,0
GO:0072687,14,meiotic spindle,cellular_component,4,4999,643,8,GO:0007051,0
GO:0031429,12,box H/ACA snoRNP complex,cellular_component,1,0,692,8,GO:0032218,0
GO:0031095,13,platelet dense tubular network membrane,cellular_component,3,8,659,8,GO:0031095,1
GO:0070552,12,BRISC complex,cellular_component,0,93,724,8,GO:0034459,0
GO:0031232,12,extrinsic component of external side of plasma membrane,cellular_component,11,0,716,8,GO:0031226,0
GO:0098837,12,postsynaptic recycling endosome,cellular_component,0,0,712,8,GO:0098836,0
GO:1990879,12,CST complex,cellular_component,0,707,709,8,GO:0031596,0
GO:0030056,13,hemidesmosome,cellular_component,7,2387,662,8,GO:0030056,1
GO:0031253,13,cell projection membrane,cellular_component,21,115,678,8,GO:0031226,0
GO:0000801,12,central element,cellular_component,1,8851,687,8,GO:0005856,0
GO:0030124,11,AP-4 adaptor complex,cellular_component,0,24,741,9,GO:0030117,0
GO:0042582,11,azurophil granule,cellular_component,15,582,754,9,GO:0035577,0
GO:0031461,9,cullin-RING ubiquitin ligase complex,cellular_component,17,328,818,9,GO:0031461,1
GO:0097197,10,tetraspanin-enriched microdomain,cellular_component,1,157,809,9,GO:0098857,0
GO:0120157,9,PAR polarity complex,cellular_component,0,469,814,9,GO:0031143,0
GO:0098843,10,postsynaptic endocytic zone,cellular_component,0,3,805,9,GO:0098836,0
GO:0005968,10,Rab-protein geranylgeranyltransferase complex,cellular_component,2,3,789,9,GO:0000166,0
GO:0160157,11,branched-chain alpha-ketoacid dehydrogenase complex,cellular_component,0,371,737,9,GO:0005964,0
GO:0032437,11,cuticular plate,cellular_component,0,1193,732,9,GO:0005634,0
GO:0005588,11,collagen type V trimer,cellular_component,5,0,748,9,GO:0005588,1
GO:1904949,8,ATPase complex,cellular_component,9,3475,909,10,GO:1902494,0
GO:0070938,8,contractile ring,cellular_component,2,4567,889,10,GO:0005826,0
GO:0120200,9,rod photoreceptor outer segment,cellular_component,0,203,841,10,GO:0005848,0
GO:1990851,8,Wnt-Frizzled-LRP5/6 complex,cellular_component,1,0,903,10,GO:0030111,0
GO:1904602,8,serotonin-activated cation-selective channel complex,cellular_component,0,0,879,10,GO:0005892,0
GO:0045263,9,"proton-transporting ATP synthase complex, coupling factor F(o)",cellular_component,18,31,821,10,GO:0045261,0
GO:0071204,8,histone pre-mRNA 3'end processing complex,cellular_component,0,1,892,10,GO:0046549,0
GO:0106333,8,subcortical maternal complex,cellular_component,0,292,864,10,GO:0048496,0
GO:1990423,9,RZZ complex,cellular_component,0,294,827,10,GO:0032133,0
GO:0005655,8,nucleolar ribonuclease P complex,cellular_component,2,9,860,10,GO:0005732,0
GO:0060171,7,stereocilium membrane,cellular_component,1,3,937,11,GO:0060179,0
GO:0060342,6,photoreceptor inner segment membrane,cellular_component,0,2,978,11,GO:0097381,0
GO:0005945,7,6-phosphofructokinase complex,cellular_component,5,17,964,11,GO:0005820,0
GO:0035749,7,myelin sheath adaxonal region,cellular_component,2,1,926,11,GO:0043218,0
GO:0044300,7,cerebellar mossy fiber,cellular_component,2,558,914,11,GO:0097064,0
GO:0044304,7,main axon,cellular_component,13,836,949,11,GO:0044304,1
