hpo_id,hpo_term,pmc_term_hits,hpo_annotation_count,pmc_hpo_id_hits,Match,Rank,Bin,predicted_hpo_id,pmatch
HP:0000465,Webbed neck,1552,154,7,1,325,1,HP:0000245,0
HP:0000470,Short neck,303727,542,19,1,65,1,HP:0000470,1
HP:0000527,Long eyelashes,5037,159,13,1,139,1,HP:0009755,0
HP:0000162,Glossoptosis,773,41,5,1,481,1,HP:0000162,1
HP:0001258,Spastic paraplegia,38080,162,5,1,435,1,HP:0001258,1
HP:0002027,Abdominal pain,408663,311,7,1,283,1,HP:0002027,1
HP:0003124,Hypercholesterolemia,105173,86,4,1,509,1,HP:0003124,1
HP:0001290,Generalized hypotonia,8655,725,34,1,24,1,HP:0001290,1
HP:0002134,Abnormal basal ganglia morphology,24735,30,6,1,359,1,HP:0002510,0
HP:0011042,Abnormal blood potassium concentration,47211,2,2,1,834,1,HP:0003078,0
HP:0000718,Aggressive behavior,286928,344,18,1,74,1,HP:0000718,1
HP:0004325,Decreased body weight,1905672,135,14,1,109,1,HP:0004325,1
HP:0000375,Abnormal cochlea morphology,4605,7,7,1,321,1,HP:0000375,1
HP:0010976,B lymphocytopenia,51679,57,2,1,827,1,HP:0001880,0
HP:0002750,Delayed skeletal maturation,25617,391,3,1,669,1,HP:0003790,0
HP:0002342,"Intellectual disability, moderate",51931,226,27,1,41,1,HP:0002342,1
HP:0005407,Decreased proportion of CD4-positive helper T cells,1588,29,3,1,758,1,HP:0002728,0
HP:0002120,Cerebral cortical atrophy,112618,280,9,1,217,1,HP:0002120,1
HP:0000029,Testicular atrophy,12748,22,4,1,557,1,HP:0000026,0
HP:0001279,Syncope,57832,111,7,1,296,1,HP:0001279,1
HP:0001531,Failure to thrive in infancy,9168,94,7,1,316,1,HP:0001533,0
HP:0001945,Fever,686134,384,11,1,160,1,HP:0001945,1
HP:0006530,Abnormal pulmonary interstitial morphology,26140,48,4,1,538,1,HP:0006530,1
HP:0002900,Hypokalemia,32401,84,4,1,529,1,HP:0002900,1
HP:0000786,Primary amenorrhea,21307,122,8,1,263,1,HP:0000786,1
HP:0000689,Dental malocclusion,16905,139,3,1,683,1,HP:0000689,1
HP:0000272,Malar flattening,785,342,9,1,241,1,HP:0000274,0
HP:0006829,Severe muscular hypotonia,15271,59,4,1,551,1,HP:0006829,1
HP:0008944,Distal lower limb amyotrophy,10517,68,2,1,881,1,HP:0008944,1
HP:0001387,Joint stiffness,107584,197,3,1,629,1,HP:0001389,0
HP:0034364,Fibrofatty replacement of right ventricular myocardium,866,1,9,0,1681,2,HP:0006706,0
HP:0008369,Abnormal tarsal ossification,780,1,1,1,1180,2,HP:0008136,0
HP:0001596,Alopecia,46209,245,0,1,1272,2,HP:00000071,0
HP:0003355,Aminoaciduria,2167,79,0,1,1424,2,HP:0002155,0
HP:0002170,Intracranial hemorrhage,101792,65,1,1,996,2,HP:0002170,1
HP:0001591,Bell-shaped thorax,594,42,0,1,1462,2,HP:0000929,0
HP:0002586,Peritonitis,96503,34,1,1,997,2,HP:0005224,0
HP:0004871,Perineal fistula,9055,5,13,0,1593,2,HP:0002562,0
HP:0004493,Craniofacial hyperostosis,658,21,1,1,1186,2,HP:0004493,1
HP:0000944,Abnormal metaphysis morphology,2104,82,1,1,1146,2,HP:0001374,0
HP:0007477,Abnormal dermatoglyphics,606,66,2,1,953,2,HP:0002712,0
HP:0000963,Thin skin,185592,100,0,1,1224,2,HP:0001025,0
HP:0011001,Increased bone mineral density,111343,70,1,1,994,2,HP:0011001,1
HP:0006520,Progressive pulmonary function impairment,86280,3,15,0,1567,2,HP:0006536,0
HP:0007601,Midline facial capillary hemangioma,366,3,9,0,1684,2,HP:0001004,0
HP:0002913,Myoglobinuria,3684,30,1,1,1125,2,HP:0003088,0
HP:0001543,Gastroschisis,3694,14,0,1,1411,2,HP:0000078,0
HP:0001525,Severe failure to thrive,24595,15,31,0,1520,2,HP:0001508,0
HP:0005743,Avascular necrosis of the capital femoral epiphysis,2441,35,11,0,1631,2,HP:0006382,0
HP:0000388,Otitis media,45409,43,1,1,1027,2,HP:0000388,1
HP:0003075,Hypoproteinemia,9616,30,0,1,1344,2,HP:0003075,1
HP:0000592,Blue sclerae,1288,152,0,1,1441,2,HP:0000593,0
HP:0010295,Aplasia/Hypoplasia of the tongue,37,9,0,1,1489,2,HP:0000188,0
HP:0000230,Gingivitis,22561,37,0,1,1299,2,HP:0000707,0
HP:0000152,Abnormality of head or neck,801570,4,0,1,1213,2,HP:0000118,0
HP:0001922,Vacuolated lymphocytes,5508,14,0,1,1376,2,HP:0001875,0
HP:0003414,Atlantoaxial dislocation,1950,8,1,1,1150,2,HP:0003416,0
HP:0001342,Cerebral hemorrhage,140677,56,0,1,1230,2,HP:0001347,0
HP:0012260,Abnormal central microtubular pair morphology of respiratory motile cilia,0,2,0,1,1499,2,HP:0004703,0
HP:0009791,Bifid sacrum,324,2,6,0,1855,2,HP:0008468,0
HP:0005686,Patchy osteosclerosis,288,4,3,0,2556,3,HP:0005781,0
HP:0000900,Thickened ribs,6221,9,4,0,2100,3,HP:0000922,0
HP:0002821,Neuropathic arthropathy,2321,5,3,0,2461,3,HP:0009153,0
HP:0004363,Abnormal circulating calcium concentration,35618,12,2,0,2783,3,HP:0003073,0
HP:0000834,Abnormality of the adrenal glands,5519,13,4,0,2105,3,HP:0000814,0
HP:0000188,Short upper lip,28689,9,4,0,2048,3,HP:0000183,0
HP:0005374,Cellular immunodeficiency,297188,17,2,0,2645,3,HP:0002721,0
HP:0000436,Abnormal nasal tip morphology,5721,1,5,0,1944,3,HP:0000463,0
HP:0008670,Partial vaginal septum,2952,1,4,0,2124,3,HP:0002683,0
HP:0000466,Limited neck range of motion,43219,5,3,0,2290,3,HP:0005909,0
HP:0012020,Right aortic arch,77963,26,3,0,2264,3,HP:0011357,0
HP:0005132,Pericardial constriction,5131,1,3,0,2416,3,HP:0001694,0
HP:0005160,Total anomalous pulmonary venous return,3608,17,5,0,1954,3,HP:0005307,0
HP:0004826,Folate-unresponsive megaloblastic anemia,0,2,3,0,2625,3,HP:0001889,0
HP:0032355,Decreased peak expiratory flow,19749,1,5,0,1915,3,HP:0003119,0
HP:0000071,Ureteral stenosis,8526,9,5,0,1934,3,HP:0000076,0
HP:0001187,Hyperextensibility of the finger joints,370,29,3,0,2546,3,HP:0006230,0
HP:0010562,Keloids,13998,24,3,0,2356,3,HP:0000767,0
HP:0005537,Decreased mean platelet volume,92183,6,3,0,2254,3,HP:0004444,0
HP:0001911,Abnormal granulocyte morphology,23476,3,4,0,2054,3,HP:0001881,0
HP:0032553,Weak pulse,301067,2,2,0,2643,3,HP:0005092,0
HP:0008305,Exercise-induced myoglobinuria,553,10,5,0,1979,3,HP:0003729,0
HP:0000321,Square face,253806,20,2,0,2648,3,HP:0000274,0
HP:0004639,Elevated amniotic fluid alpha-fetoprotein,893,5,3,0,2512,3,HP:0004990,0
HP:0002518,Abnormal periventricular white matter morphology,6333,53,4,0,2098,3,HP:0002518,1
HP:0003713,Muscle fiber necrosis,40498,20,3,0,2294,3,HP:0003746,0
HP:0002266,Focal clonic seizure,39467,22,4,0,2034,3,HP:0002269,0
