GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_term,pmatch,processing_time
GO:0014069,301,postsynaptic density,cellular_component,81,20873,67,1,DNA replication,0,0.26
GO:0005794,1889,Golgi apparatus,cellular_component,185,62651,17,1,endoplasmic reticulum membrane,0,1.14
GO:0005764,463,lysosome,cellular_component,171,101710,46,1,lysosome membrane,0,0.68
GO:0005929,475,cilium,cellular_component,66,19190,44,1,endoplasmic reticulum,0,0.3
GO:0022625,214,cytosolic large ribosomal subunit,cellular_component,121,407,90,1,cellular component organization,0,0.24
GO:0005741,491,mitochondrial outer membrane,cellular_component,53,25179,41,1,mitochondrial outer membrane,1,0.22
GO:0005840,5624,ribosome,cellular_component,506,161615,7,1,ribosome,1,0.31
GO:0005802,260,trans-Golgi network,cellular_component,14,25799,76,1,synaptic vesicle membrane,0,0.24
GO:0005730,5461,nucleolus,cellular_component,208,40758,8,1,cytoplasm,0,0.16
GO:0005615,2981,extracellular space,cellular_component,728,94259,12,1,extracellular space,1,0.53
GO:1903561,163,extracellular vesicle,cellular_component,79,30046,118,2,positive regulation of protein kinase activity,0,0.18
GO:0098793,194,presynapse,cellular_component,66,2608,97,2,cellular response to external stimulus,0,0.22
GO:0043197,178,dendritic spine,cellular_component,37,33938,108,2,plasma membrane,0,0.22
GO:0000932,159,P-body,cellular_component,32,5163,122,2,small nuclear ribonucleoprotein complex,0,0.23
GO:0030659,143,cytoplasmic vesicle membrane,cellular_component,35,149,132,2,cellular response to nutrient levels,0,0.22
GO:0000502,102,proteasome complex,cellular_component,124,4863,174,2,telomere capping,0,0.42
GO:0045171,185,intercellular bridge,cellular_component,10,1180,104,2,plasma membrane,0,0.28
GO:0033116,140,endoplasmic reticulum-Golgi intermediate compartment membrane,cellular_component,7,23,137,2,protein complex subunit organization,0,0.28
GO:0005762,196,mitochondrial large ribosomal subunit,cellular_component,18,535,95,2,lysosome membrane,0,0.39
GO:0005669,134,transcription factor TFIID complex,cellular_component,17,82,144,2,DNA replication complex,0,0.29
GO:0090543,51,Flemming body,cellular_component,6,149,265,3,cellular response to nutrient levels,0,0.32
GO:0031462,64,Cul2-RING ubiquitin ligase complex,cellular_component,1,2,231,3,protein complex,0,0.19
GO:0045177,79,apical part of cell,cellular_component,88,394,195,3,phospholipid translocation,0,0.31
GO:0016592,69,mediator complex,cellular_component,17,8391,219,3,nucleosome assembly,0,0.28
GO:0000813,69,ESCRT I complex,cellular_component,4,765,216,3,phagocytic vesicle formation,0,0.34
GO:0000307,60,cyclin-dependent protein kinase holoenzyme complex,cellular_component,43,215,245,3,DNA repair,0,0.22
GO:0005879,76,axonemal microtubule,cellular_component,3,409,204,3,microtubule,0,0.42
GO:0071944,61,cell periphery,cellular_component,226,21392,238,3,cellular response to nutrient levels,0,0.33
GO:0097381,67,photoreceptor disc membrane,cellular_component,0,130,223,3,cellular response to external stimulus,0,0.3
GO:0042645,59,mitochondrial nucleoid,cellular_component,10,1007,247,3,cell wall organization,0,0.45
GO:0035102,36,PRC1 complex,cellular_component,6,1889,350,4,cellular response to nutrient levels,0,0.3
GO:0000407,47,phagophore assembly site,cellular_component,14,998,281,4,phosphatidylinositol phosphatase activity,0,0.38
GO:0008250,46,oligosaccharyltransferase complex,cellular_component,7,895,282,4,lipid biosynthetic process,0,0.36
GO:0000794,46,condensed nuclear chromosome,cellular_component,24,143,284,4,nuclear pore,0,0.31
GO:0005791,35,rough endoplasmic reticulum,cellular_component,16,16745,359,4,endoplasmic reticulum membrane,0,0.56
GO:0034464,38,BBSome,cellular_component,5,1660,327,4,protein complex,0,0.28
GO:0030016,39,myofibril,cellular_component,92,10697,321,4,cell junction,0,0.27
GO:0032281,38,AMPA glutamate receptor complex,cellular_component,10,9,328,4,plasma membrane,0,0.24
GO:0030014,38,CCR4-NOT complex,cellular_component,7,2209,324,4,cell junction,0,0.18
GO:0072546,39,EMC complex,cellular_component,4,97,322,4,cellular response to nutrient levels,0,0.35
GO:0017119,30,Golgi transport complex,cellular_component,7,150,396,5,ATP-dependent protein kinase activity,0,0.33
GO:0030126,30,COPI vesicle coat,cellular_component,14,277,397,5,cell junction,0,0.26
GO:0070578,30,RISC-loading complex,cellular_component,3,640,405,5,cellular response to nutrient levels,0,0.25
GO:0000333,25,telomerase catalytic core complex,cellular_component,1,4,450,5,protein-DNA complex,0,0.29
GO:0005761,27,mitochondrial ribosome,cellular_component,34,3534,429,5,endosome membrane,0,0.29
GO:0032839,27,dendrite cytoplasm,cellular_component,6,5,430,5,protein complex subunit organization,0,0.29
GO:0045259,31,proton-transporting ATP synthase complex,cellular_component,23,309,393,5,regulation of cellular process,0,0.38
GO:0030122,26,AP-2 adaptor complex,cellular_component,5,581,440,5,cell junction,0,0.18
GO:0005892,30,acetylcholine-gated channel complex,cellular_component,15,2,402,5,plasma membrane,0,0.16
GO:0005955,29,calcineurin complex,cellular_component,4,149,407,5,protein complex,0,0.32
GO:0016528,19,sarcoplasm,cellular_component,18,3657,526,6,phosphatase activity,0,0.33
GO:0001527,23,microfibril,cellular_component,10,6701,462,6,angiogenesis,0,0.28
GO:0033588,19,elongator holoenzyme complex,cellular_component,3,4,530,6,vesicle targeting,0,0.34
GO:0099078,22,BORC complex,cellular_component,0,95,484,6,cellular response to starvation,0,0.31
GO:0098574,19,cytoplasmic side of lysosomal membrane,cellular_component,0,0,519,6,positive regulation of protein kinase activity,0,0.28
GO:1902554,21,serine/threonine protein kinase complex,cellular_component,21,204,493,6,positive regulation of protein kinase activity,0,0.24
GO:0034709,19,methylosome,cellular_component,7,629,529,6,cellular response to nutrient levels,0,0.46
GO:0031092,18,platelet alpha granule membrane,cellular_component,11,341,543,6,cellular response to nutrient levels,0,0.33
GO:0042721,18,TIM22 mitochondrial import inner membrane insertion complex,cellular_component,1,0,544,6,cellular response to external stimulus,0,0.56
GO:0031143,18,pseudopodium,cellular_component,5,1010,537,6,protein complex,0,0.22
GO:1990072,14,TRAPPIII protein complex,cellular_component,1,0,629,7,positive regulation of protein kinase activity,0,0.27
GO:0000812,16,Swr1 complex,cellular_component,7,781,582,7,vesicle targeting,0,0.31
GO:1990391,14,DNA repair complex,cellular_component,12,1890,627,7,positive regulation of protein kinase activity,0,0.2
GO:0140288,14,GBAF complex,cellular_component,0,12,631,7,protein targeting to membrane,0,0.17
GO:0042589,17,zymogen granule membrane,cellular_component,3,356,557,7,embryonic development ending in birth,0,0.25
GO:0031415,17,NatA complex,cellular_component,0,240,550,7,protein complex,0,0.35
GO:0097440,16,apical dendrite,cellular_component,4,5167,577,7,cellular response to organic substance,0,0.45
GO:0016586,16,RSC-type complex,cellular_component,1,0,598,7,protein kinase activity,0,0.53
GO:1990316,17,Atg1/ULK1 kinase complex,cellular_component,3,0,554,7,protein targeting to mitochondrion,0,0.39
GO:0008385,16,IkappaB kinase complex,cellular_component,2,4305,590,7,RNA 3'-phosphatase activity,0,0.34
GO:0005584,12,collagen type I trimer,cellular_component,16,38,707,8,microtubule,0,0.29
GO:0071006,13,U2-type catalytic step 1 spliceosome,cellular_component,5,0,674,8,cellular response to starvation,0,0.42
GO:1904930,13,amphisome membrane,cellular_component,1,0,676,8,positive regulation of protein kinase activity,0,0.48
GO:0000930,14,gamma-tubulin complex,cellular_component,0,1039,644,8,telomere maintenance,0,0.27
GO:0032021,12,NELF complex,cellular_component,3,327,685,8,protein complex,0,0.24
GO:0097169,13,AIM2 inflammasome complex,cellular_component,1,74,679,8,cellular response to external stimulus,0,0.26
GO:0160112,13,axonemal B tubule inner sheath,cellular_component,0,0,668,8,protein targeting to ER,0,0.54
GO:0044194,14,cytolytic granule,cellular_component,5,883,651,8,cellular response to starvation,0,0.2
GO:0031436,12,BRCA1-BARD1 complex,cellular_component,2,518,697,8,protein complex,0,0.39
GO:0097550,13,transcription preinitiation complex,cellular_component,0,954,673,8,cellular response to organic substance,0,0.27
GO:0042641,11,actomyosin,cellular_component,17,29817,747,9,cell wall organization,0,0.3
GO:0005915,10,zonula adherens,cellular_component,6,2162,779,9,adherens junction,0,0.17
GO:1990229,11,iron-sulfur cluster assembly complex,cellular_component,3,117,762,9,positive regulation of protein kinase activity,0,0.29
GO:0008352,10,katanin complex,cellular_component,0,61,802,9,protein targeting to ER,0,0.58
GO:0030061,9,mitochondrial crista,cellular_component,0,692,817,9,cell junction,0,0.29
GO:0120103,10,centriolar subdistal appendage,cellular_component,2,1,810,9,None,0,0.25
GO:0030119,10,AP-type membrane coat adaptor complex,cellular_component,10,0,811,9,plasma membrane,0,0.23
GO:0033565,10,ESCRT-0 complex,cellular_component,2,539,778,9,protein targeting to mitochondrion,0,0.33
GO:0008541,10,"proteasome regulatory particle, lid subcomplex",cellular_component,4,0,784,9,lipid storage,0,0.28
GO:0034363,11,intermediate-density lipoprotein particle,cellular_component,5,36,749,9,protein complex,0,0.27
GO:0097450,8,astrocyte end-foot,cellular_component,3,51,893,10,positive regulation of protein kinase activity,0,0.25
GO:0000811,9,GINS complex,cellular_component,1,1066,852,10,phagocytic vesicle formation,0,0.3
GO:0072357,8,PTW/PP1 phosphatase complex,cellular_component,7,0,888,10,cellular response to external stimulus,0,0.58
GO:0005740,9,mitochondrial envelope,cellular_component,88,585,829,10,mitochondrial outer membrane,0,0.41
GO:0098666,9,G protein-coupled serotonin receptor complex,cellular_component,0,0,831,10,positive regulation of protein kinase activity,0,0.27
GO:0034751,8,aryl hydrocarbon receptor complex,cellular_component,1,819,895,10,anchored to membrane,0,0.35
GO:0090571,9,RNA polymerase II transcription repressor complex,cellular_component,2,0,847,10,cellular response to nutrient levels,0,0.27
GO:0001940,9,male pronucleus,cellular_component,0,2001,823,10,cell junction,0,0.32
GO:0071141,9,SMAD protein complex,cellular_component,4,156,838,10,cellular response to nutrient levels,0,0.47
GO:0060201,9,clathrin-sculpted acetylcholine transport vesicle membrane,cellular_component,1,0,850,10,cellular response to starvation,0,0.21
GO:0005954,6,calcium- and calmodulin-dependent protein kinase complex,cellular_component,6,8,993,11,protein complex,0,0.28
GO:0044354,7,macropinosome,cellular_component,1,1232,953,11,cellular response to starvation,0,0.29
GO:0071598,7,neuronal ribonucleoprotein granule,cellular_component,1,5,936,11,cellular response to nutrient levels,0,0.3
GO:1990696,7,USH2 complex,cellular_component,0,57,955,11,positive regulation of protein kinase activity,0,0.4
GO:1990604,7,IRE1-TRAF2-ASK1 complex,cellular_component,0,40,954,11,positive regulation of protein kinase activity,0,0.24
GO:0098890,7,extrinsic component of postsynaptic membrane,cellular_component,0,0,924,11,positive regulation of protein localization,0,0.26
GO:0070985,7,transcription factor TFIIK complex,cellular_component,2,0,933,11,cellular response to nutrient levels,0,0.35
GO:0099617,7,matrix side of mitochondrial inner membrane,cellular_component,0,0,923,11,cell-cell adhesion,0,0.27
GO:0034388,6,Pwp2p-containing subcomplex of 90S preribosome,cellular_component,3,0,992,11,endoplasmic reticulum,0,0.25
GO:0005622,6,intracellular anatomical structure,cellular_component,479,194,995,11,intracellular,0,0.33
GO:0140552,6,TEAD-YAP complex,cellular_component,1,825,1046,12,positive regulation of protein kinase activity,0,0.32
GO:0071817,6,MMXD complex,cellular_component,0,3,1011,12,cellular response to nutrient levels,0,0.37
GO:1990617,6,CHOP-ATF4 complex,cellular_component,0,0,1027,12,positive regulation of protein kinase activity,0,0.33
GO:0048476,6,Holliday junction resolvase complex,cellular_component,1,17,1035,12,cellular response to starvation,0,0.28
GO:0030526,5,granulocyte macrophage colony-stimulating factor receptor complex,cellular_component,0,23,1088,12,plasma membrane,0,0.22
GO:0043293,6,apoptosome,cellular_component,0,10821,1008,12,protein complex,0,0.21
GO:0017071,6,intracellular cyclic nucleotide activated cation channel complex,cellular_component,1,4,1034,12,RNA binding,0,0.51
GO:0031213,5,RSF complex,cellular_component,0,122,1082,12,cellular response to nutrient levels,0,0.21
GO:0031422,6,RecQ family helicase-topoisomerase III complex,cellular_component,0,0,1029,12,protein complex,0,0.39
GO:0098635,6,protein complex involved in cell-cell adhesion,cellular_component,0,0,1049,12,cellular response to nutrient levels,0,0.56
GO:0099147,5,extrinsic component of postsynaptic density membrane,cellular_component,0,0,1125,13,cellular response to starvation,0,0.29
GO:0090733,4,tenascin complex,cellular_component,0,0,1160,13,cellular response to nutrient levels,0,0.37
GO:0048788,5,cytoskeleton of presynaptic active zone,cellular_component,4,0,1113,13,cellular response to starvation,0,0.34
GO:0016013,4,syntrophin complex,cellular_component,1,30,1162,13,vesicle targeting,0,0.16
GO:0033165,5,interphotoreceptor matrix,cellular_component,1,1154,1142,13,protein complex,0,0.23
GO:0097470,5,ribbon synapse,cellular_component,2,2856,1128,13,cellular response to external stimulus,0,0.2
GO:0043259,5,laminin-10 complex,cellular_component,1,0,1106,13,regulation of protein kinase activity,0,0.22
GO:0034518,4,RNA cap binding complex,cellular_component,1,39,1163,13,phosphatidylserine binding,0,0.19
GO:0099512,5,supramolecular fiber,cellular_component,37,487,1094,13,cellular response to nutrient levels,0,0.75
GO:0099738,4,cell cortex region,cellular_component,5,7,1174,13,cellular response to external stimulus,0,0.38
