GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_id,pmatch,processing_time
GO:0014069,301,postsynaptic density,cellular_component,81,20873,67,1,GO:0030234,0,0.5
GO:0005794,1889,Golgi apparatus,cellular_component,185,62651,17,1,GO:0005794,1,0.52
GO:0005764,463,lysosome,cellular_component,171,101710,46,1,GO:0005770,0,0.24
GO:0005929,475,cilium,cellular_component,66,19190,44,1,GO:0031267,0,0.18
GO:0022625,214,cytosolic large ribosomal subunit,cellular_component,121,407,90,1,GO:0042788,0,0.26
GO:0005741,491,mitochondrial outer membrane,cellular_component,53,25179,41,1,GO:0005741,1,0.39
GO:0005840,5624,ribosome,cellular_component,506,161615,7,1,GO:0003735,0,0.29
GO:0005802,260,trans-Golgi network,cellular_component,14,25799,76,1,GO:0005794,0,0.19
GO:0005730,5461,nucleolus,cellular_component,208,40758,8,1,GO:0005654,0,0.18
GO:0005615,2981,extracellular space,cellular_component,728,94259,12,1,GO:0005576,0,0.24
GO:1903561,163,extracellular vesicle,cellular_component,79,30046,118,2,GO:0070062,0,0.25
GO:0098793,194,presynapse,cellular_component,66,2608,97,2,GO:0043005,0,0.31
GO:0043197,178,dendritic spine,cellular_component,37,33938,108,2,GO:0043197,1,0.21
GO:0000932,159,P-body,cellular_component,32,5163,122,2,GO:0030802,0,0.21
GO:0030659,143,cytoplasmic vesicle membrane,cellular_component,35,149,132,2,GO:0016020,0,0.27
GO:0000502,102,proteasome complex,cellular_component,124,4863,174,2,GO:0000502,1,0.66
GO:0045171,185,intercellular bridge,cellular_component,10,1180,104,2,GO:0032552,0,0.56
GO:0033116,140,endoplasmic reticulum-Golgi intermediate compartment membrane,cellular_component,7,23,137,2,GO:0072560,0,0.53
GO:0005762,196,mitochondrial large ribosomal subunit,cellular_component,18,535,95,2,GO:0042771,0,0.48
GO:0005669,134,transcription factor TFIID complex,cellular_component,17,82,144,2,GO:0005667,0,0.35
GO:0090543,51,Flemming body,cellular_component,6,149,265,3,GO:0032393,0,0.33
