hpo_id,hpo_term,hpo_parent,hpo_term_pmc,hpo_annotations,hpo_id_pmc,normalized_term,normalized_id,hpo_match,bin
HP:5200406,Tactile agnosia,HP:0010524,5420.0,0.0,0.0,Astereognosia,HP:0001276,0.0,1
HP:0500269,Abnormal proportion of gamma-delta T cells,HP:0025540,4121.0,0.0,0.0,Abnormal proportion of gamma-delta T cells,HP:0011848,0.0,1
HP:0033705,Tearfulness,HP:5200261,1259.0,0.0,0.0,Emotional lability,HP:0000712,0.0,1
HP:6000958,Excessive piloerection,HP:0025276,1252.0,0.0,0.0,Piloerection,HP:0031831,0.0,1
HP:0025609,Anterior blepharitis,HP:0000498,2880.0,0.0,0.0,Blepharitis,HP:0000498,0.0,1
HP:6000024,Synesthesia,HP:0011446,1233.0,0.0,0.0,no appropriate match,HP:0000000,0.0,1
HP:6000542,Positive CSF mycobacterium tuberculosis nucleic acid test,HP:0430140,2836.0,0.0,0.0,no appropriate match,HP:0000000,0.0,1
HP:0034989,Interstitial dermal edema,HP:0034924,5460.0,0.0,0.0,Edema,HP:0000969,0.0,1
HP:6000091,Postpartum exacerbation,HP:0025285,4479.0,0.0,0.0,no appropriate match,HP:0000000,0.0,1
HP:0034853,Fetal phenytoin exposure,HP:0034756,2712.0,0.0,0.0,no appropriate match,HP:0000000,0.0,1
HP:0034550,Small intestinal lymphoplasmacytic infiltrate,HP:0002244,1113.0,0.0,0.0,no appropriate match,HP:0000000,0.0,2
HP:0020250,Abnormal lymph node marginal zone morphology,HP:0020249,2364.0,0.0,0.0,Abnormality of the lymph node,HP:0002733,0.0,2
HP:0410361,Decreased core 1 O-glycan level,HP:0410359,2165.0,0.0,0.0,no appropriate match,HP:0000000,0.0,2
HP:0034172,Increased circulating interleukin 23 concentration,HP:0034170,2284.0,0.0,0.0,no appropriate match,HP:0000000,0.0,2
HP:0030379,Abnormal proportion of transitional B cells,HP:0025539,1038.0,0.0,0.0,no appropriate match,HP:0000000,0.0,2
HP:0034223,Elevated umbilical artery pulsatility,HP:0025715,1166.0,0.0,0.0,Abnormal umbilical artery Doppler waveform,HP:0030875,0.0,2
HP:0031820,Decreased waist to hip ratio,HP:0031818,27112.0,0.0,0.0,Abnormal waist-to-hip ratio,HP:0003701,0.0,2
HP:0012661,Hypothalamic hypometabolism in FDG PET,HP:0012658,1002.0,0.0,0.0,no appropriate match,HP:0000000,0.0,2
HP:4000135,5-fluorouracil exposure,HP:4000112,39305.0,0.0,0.0,no appropriate match,HP:0000000,0.0,2
HP:0031494,Ovarian mucinous tumor,HP:0031495,20408.0,0.0,0.0,Mucinous ovarian neoplasm,HP:0030076,0.0,2
