ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,normalized_protein,normalized_gene_name,Match_GN,pmc_GN,PMC_protein_name
S6A20_HUMAN,Q9NP91,SLC6A20,Sodium- and chloride-dependent transporter XTRP3 ,7,11,2,20,1,Sodium- and chloride-dependent transporter XTRP3,SLC6A20,1,84,0
HEXB_HUMAN,P07686,HEXB,Beta-hexosaminidase subunit beta chain A,4,24,10,38,1,Beta-hexosaminidase subunit beta chain A,HEXB,1,379,0
DNJC2_HUMAN,Q99543,DNAJC2,"DnaJ homolog subfamily C member 2, N-terminally processed",7,7,6,20,1,"DnaJ homolog subfamily C member 2, N-terminally processed",DNAJC2,1,45,0
AT1B2_HUMAN,P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,4,22,14,40,1,Sodium/potassium-transporting ATPase subunit beta-2,ATP1B2,1,92,0
LARG1_HUMAN,O95461,LARGE1,"Beta-1,3-glucuronyltransferase LARGE1 ",7,53,5,65,1,"Beta-1,3-glucuronyltransferase LARGE1",LARGE1,1,134,0
ADT2_HUMAN,P05141,SLC25A5,"ADP/ATP translocase 2, N-terminally processed",7,12,8,27,1,ADP/ATP translocase 2,SLC25A5,1,67,0
SAC2_HUMAN,Q9NT51,INPP5F,Phosphatidylinositide phosphatase SAC2 ,7,15,9,31,1,Phosphatidylinositide phosphatase SAC2,INPP5F,1,53,1
RAB12_HUMAN,Q6IQ22,RAB12,Ras-related protein Rab-12,3,7,10,20,1,Ras-related protein Rab-12,RAB12,1,63,0
SIA4C_HUMAN,Q11206,ST3GAL4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",4,13,4,21,1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",ST3GAL4,1,110,0
BNI3L_HUMAN,O60238,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,3,13,6,22,1,BNIP3L,BNIP3L,1,472,0
NSG1_HUMAN,P42857,NSG1,Neuronal vesicle trafficking-associated protein 1 ,2,13,19,34,2,Neuronal vesicle trafficking-associated protein 1,NVTN,0,49,2
IEX1_HUMAN,P46695,IER3,Radiation-inducible immediate-early gene IEX-1,0,16,4,20,2,Radiation-inducible immediate-early gene IEX-1,IER3,1,267,2
DDX5_HUMAN,P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,16,21,10,47,2,Probable ATP-dependent RNA helicase DDX5,DDX5,1,486,2
VPS41_HUMAN,P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog,3,10,13,26,2,Vacuolar protein sorting-associated protein 41 homolog,VPS41,1,128,1
CCL4_HUMAN,P13236,CCL4,MIP-1-beta(3-69),6,16,2,24,2,CCL4,CCL4,1,15214,1
NT5C_HUMAN,Q8TCD5,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",6,10,4,20,2,"5'(3')-deoxyribonucleotidase, cytosolic type",NT5C,1,19,2
GCM1_HUMAN,Q9NP62,GCM1,Chorion-specific transcription factor GCMa,8,13,3,24,2,Chorion-specific transcription factor GCMa,GCM1,1,203,1
