ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_protein_name,match_result,processing_time
EXD2_HUMAN,Q9NVH0,EXD2,Exonuclease 3'-5' domain-containing protein 2 ,8,5,7,20,bin_5,25,8,Exonuclease 3'-5' domain-containing protein 2,1,3.02
EXOS6_HUMAN,Q5RKV6,EXOSC6,Exosome complex component MTR3,1,11,8,20,bin_5,7,4,Exosome complex component EXOSC6,0,6.92
INAVA_HUMAN,Q3KP66,INAVA,Innate immunity activator protein ,0,18,2,20,bin_5,19,67770,Interferon-alpha/beta receptor subunit 1,0,2.14
RS16_HUMAN,P62249,RPS16,Small ribosomal subunit protein uS9 ,2,6,12,20,bin_5,625,2,40S ribosomal protein S16,0,3.64
BMAL2_HUMAN,Q9NYQ4,BMAL2,Basic helix-loop-helix ARNT-like protein 2 ,5,8,7,20,bin_5,68,20,Aryl hydrocarbon receptor nuclear translocator 2,0,5.01
QFYFSNTFDL,P56715,RP1,Oxygen-regulated protein 1,1,12,7,20,bin_5,1122,346,Retinitis pigmentosa GTPase regulator 1,0,6.2
RSSA_HUMAN,P08865,RPSA,Small ribosomal subunit protein uS2 ,7,4,9,20,bin_5,358,6,Cytosolic 60S ribosomal protein SA,0,0.67
SYSC_HUMAN,P49591,SARS1,"Serine--tRNA ligase, cytoplasmic",8,8,4,20,bin_5,37,62,Staphylococcal nuclease domain-containing protein 1,0,0.88
ADHX_HUMAN,P11766,ADH5,Alcohol dehydrogenase class-3 ,9,8,3,20,bin_5,242,14,"Class III alcohol dehydrogenase, zinc-dependent, mitochondrial",0,3.27
SKAP_HUMAN,Q9Y448,KNSTRN,Small kinetochore-associated protein ,2,8,10,20,bin_5,38,41,Kinetochore protein Knstrn,0,0.84
AEVYTLRPLF,Q9UPZ9,CILK1,Serine/threonine-protein kinase ICK,5,8,7,20,bin_5,56,42,Cilium and knobbly protein 1,0,0.52
SLF1_HUMAN,Q9BQI6,SLF1,SMC5-SMC6 complex localization factor protein 1 ,2,9,9,20,bin_5,41,4,SMC5-SMC6 complex localization factor protein 1,1,0.97
CLCN4_HUMAN,P51793,CLCN4,H(+)/Cl(-) exchange transporter 4,4,3,13,20,bin_5,61,1834,Chloride voltage-gated channel 4,0,4.98
SMN_HUMAN,Q16637,SMN2,Survival motor neuron protein,2,4,14,20,bin_5,1339,8014,Smn protein homolog,0,6.83
HEN2_HUMAN,Q02577,NHLH2,Helix-loop-helix protein 2,6,11,3,20,bin_5,69,13784,Helix-loop-helix protein 2,1,5.33
BARX2_HUMAN,Q9UMQ3,BARX2,Homeobox protein BarH-like 2,6,7,7,20,bin_5,63,19,Homeobox protein BARX-2,0,1.43
TYB4_HUMAN,P62328,TMSB4X,Hemoregulatory peptide AcSDKP ,4,10,6,20,bin_5,83,22,"Thymosin beta 4, X-linked",0,0.99
ATF6B_HUMAN,Q9H3W1,ATF6B,Processed cyclic AMP-dependent transcription factor ATF-6 beta,4,7,9,20,bin_5,49,0,CCAAT/enhancer-binding protein subunit B,0,1.11
HYES_HUMAN,P34913,EPHX2,Lipid-phosphate phosphatase,8,8,4,20,bin_5,438,239,"Epoxide hydrolase 2, cytosolic",0,6.0
COIA1_HUMAN,Q9UK38,COL18A1,Non-collagenous domain 1 ,2,11,7,20,bin_5,2207,191,Collagen alpha-1(18) chain,0,9.15
PRAF3_HUMAN,O75915,ARL6IP5,PRA1 family protein 3,0,15,5,20,bin_5,108,7,ADP-ribosylation factor-like protein 6 interacting protein 5,0,3.7
GFRAL_HUMAN,Q6UXV0,GFRAL,GDNF family receptor alpha-like ,4,10,6,20,bin_5,133,45,G protein-coupled receptor associated with GFRalpha-1,0,3.17
UB2R1_HUMAN,P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1,3,13,4,20,bin_5,257,6,Ubiquitin-conjugating enzyme E2 R1,1,1.15
HBA_HUMAN,P69905,HBA2,Hemopressin ,5,6,9,20,bin_5,1123,91,Alpha-globin,0,2.01
ARAP1_HUMAN,Q96L71,ARAP1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",4,8,8,20,bin_5,93,4,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",0,4.9
NECT3_HUMAN,Q9NQS3,NECTIN3,Nectin-3,3,8,9,20,bin_5,142,817,Poliovirus receptor-related protein 3,0,4.26
