ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_gene_symbol,match_result,processing_time
EXD2_HUMAN,Q9NVH0,EXD2,Exonuclease 3'-5' domain-containing protein 2 ,8,5,7,20,bin_5,25,8,EXO3,0,6.36
EXOS6_HUMAN,Q5RKV6,EXOSC6,Exosome complex component MTR3,1,11,8,20,bin_5,7,4,EXOSC3,0,6.12
INAVA_HUMAN,Q3KP66,INAVA,Innate immunity activator protein ,0,18,2,20,bin_5,19,67770,IFI35,0,2.49
RS16_HUMAN,P62249,RPS16,Small ribosomal subunit protein uS9 ,2,6,12,20,bin_5,625,2,RPS25,0,1.21
BMAL2_HUMAN,Q9NYQ4,BMAL2,Basic helix-loop-helix ARNT-like protein 2 ,5,8,7,20,bin_5,68,20,BHLHE40,0,3.39
QFYFSNTFDL,P56715,RP1,Oxygen-regulated protein 1,1,12,7,20,bin_5,1122,346,EPAS1,0,3.66
RSSA_HUMAN,P08865,RPSA,Small ribosomal subunit protein uS2 ,7,4,9,20,bin_5,358,6,RPS25,0,4.56
SYSC_HUMAN,P49591,SARS1,"Serine--tRNA ligase, cytoplasmic",8,8,4,20,bin_5,37,62,SERINC,0,5.32
ADHX_HUMAN,P11766,ADH5,Alcohol dehydrogenase class-3 ,9,8,3,20,bin_5,242,14,ADH3B,0,1.26
SKAP_HUMAN,Q9Y448,KNSTRN,Small kinetochore-associated protein ,2,8,10,20,bin_5,38,41,SKA1,0,1.24
AEVYTLRPLF,Q9UPZ9,CILK1,Serine/threonine-protein kinase ICK,5,8,7,20,bin_5,56,42,STK39,0,1.28
SLF1_HUMAN,Q9BQI6,SLF1,SMC5-SMC6 complex localization factor protein 1 ,2,9,9,20,bin_5,41,4,SLF1,1,3.75
CLCN4_HUMAN,P51793,CLCN4,H(+)/Cl(-) exchange transporter 4,4,3,13,20,bin_5,61,1834,SLC4A7,0,4.23
SMN_HUMAN,Q16637,SMN2,Survival motor neuron protein,2,4,14,20,bin_5,1339,8014,SMN1,0,6.74
HEN2_HUMAN,Q02577,NHLH2,Helix-loop-helix protein 2,6,11,3,20,bin_5,69,13784,NHLH2,1,2.89
BARX2_HUMAN,Q9UMQ3,BARX2,Homeobox protein BarH-like 2,6,7,7,20,bin_5,63,19,BARHL2,0,2.64
TYB4_HUMAN,P62328,TMSB4X,Hemoregulatory peptide AcSDKP ,4,10,6,20,bin_5,83,22,REN,0,1.62
ATF6B_HUMAN,Q9H3W1,ATF6B,Processed cyclic AMP-dependent transcription factor ATF-6 beta,4,7,9,20,bin_5,49,0,ATF6B,1,2.9
HYES_HUMAN,P34913,EPHX2,Lipid-phosphate phosphatase,8,8,4,20,bin_5,438,239,INPP5D,0,4.63
COIA1_HUMAN,Q9UK38,COL18A1,Non-collagenous domain 1 ,2,11,7,20,bin_5,2207,191,NT5C1,0,2.64
PRAF3_HUMAN,O75915,ARL6IP5,PRA1 family protein 3,0,15,5,20,bin_5,108,7,PRAF3,0,4.54
GFRAL_HUMAN,Q6UXV0,GFRAL,GDNF family receptor alpha-like ,4,10,6,20,bin_5,133,45,GFRAL,1,0.89
UB2R1_HUMAN,P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1,3,13,4,20,bin_5,257,6,UBE2R1,0,0.97
HBA_HUMAN,P69905,HBA2,Hemopressin ,5,6,9,20,bin_5,1123,91,HPN,0,2.01
ARAP1_HUMAN,Q96L71,ARAP1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",4,8,8,20,bin_5,93,4,AGAP2,0,0.97
NECT3_HUMAN,Q9NQS3,NECTIN3,Nectin-3,3,8,9,20,bin_5,142,817,NECTIN3,1,1.94
RAPSN_HUMAN,Q13702,RAPSN,43 kDa receptor-associated protein of the synapse,5,9,6,20,bin_5,100,6,RAPSN,1,2.16
CSK22_HUMAN,P19784,CSNK2A2,Casein kinase II subunit alpha',3,11,6,20,bin_5,56,676,CSNK2A1,0,1.78
H2B1J_HUMAN,P06899,H2BC11,Histone H2B type 1-J,4,10,6,20,bin_5,2,0,H2BFJ,0,3.3
CC50A_HUMAN,Q9NV96,TMEM30A,Cell cycle control protein 50A ,2,7,11,20,bin_5,78,5,CCND1,0,4.13
PCLI1_HUMAN,Q7Z2X4,PID1,"PTB-containing, cubilin and LRP1-interacting protein",0,20,1,21,bin_5,86,0,CUBN,0,1.45
UHMK1_HUMAN,Q8TAS1,UHMK1,Serine/threonine-protein kinase Kist,8,6,7,21,bin_5,65,174,KIST,0,1.53
GGT1_HUMAN,P19440,GGT1,Glutathione hydrolase 1 light chain,4,14,3,21,bin_5,195,128,GSTK1,0,2.98
AT11B_HUMAN,Q9Y2G3,ATP11B,Phospholipid-transporting ATPase IF,7,4,10,21,bin_5,33,42,ATP10A,0,2.63
DAA11_HUMAN,Q86X45,DNAAF11,Dynein axonemal assembly factor 11 ,0,14,7,21,bin_5,3,2,DNAAF11,1,2.23
DAAF4_HUMAN,Q8WXU2,DNAAF4,Dynein axonemal assembly factor 4 ,1,11,9,21,bin_5,76,10,DNAAF4,1,0.69
SEPT6_HUMAN,Q14141,SEPTIN6,Septin-6,3,6,12,21,bin_5,56,30,SEPT6,0,2.38
SYAC_HUMAN,P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic ",7,9,5,21,bin_5,28,47,ALANA,0,2.45
AIMP1_HUMAN,Q12904,AIMP1,Endothelial monocyte-activating polypeptide 2,4,9,8,21,bin_5,106,73,EMAP2,0,1.61
FZR1_HUMAN,Q9UM11,FZR1,Fizzy-related protein homolog ,3,13,5,21,bin_5,216,12,FZR1,1,0.95
FBLN4_HUMAN,O95967,EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2 ,4,9,8,21,bin_5,162,33,FBLN2,0,1.55
FBH1_HUMAN,Q96SW7,FBH1,F-box DNA helicase 1 ,8,10,3,21,bin_5,60,32,FBXO6,0,0.3
IASPP_HUMAN,Q8WUF5,PPP1R13L,RelA-associated inhibitor,3,13,5,21,bin_5,190,10,NFKBIA,0,1.71
KDM8_HUMAN,Q8N371,KDM8,Bifunctional peptidase and arginyl-hydroxylase JMJD5 ,8,9,4,21,bin_5,59,0,JMJD5,0,2.0
