ID,AC,gene_symbol,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,gene_id,gene_name,Bin2,predicted_gene_name,pmatch
PGH2_HUMAN,P35354,PTGS2,Prostaglandin G/H synthase 2 ,7,58,9,74,bin_5,Prostaglandin G/H synthase 2,PTGS2,1,100087,66,2199,PTGS2,HGNC:9605,prostaglandin-endoperoxide synthase 2,1,prostaglandin-endoperoxide synthase 2,1
RET_HUMAN,P07949,RET,Extracellular cell-membrane anchored RET cadherin 120 kDa fragment ,5,38,8,51,bin_5,Extracellular cell-membrane anchored RET cadherin 120 kDa fragment,CDH16,0,49222,127,35,RET,HGNC:9967,ret proto-oncogene,1,prostaglandin-endoperoxide synthase 2,0
ACE2_HUMAN,Q9BYF1,ACE2,Processed angiotensin-converting enzyme 2 ,8,26,12,46,bin_5,Processed angiotensin-converting enzyme 2,ACE2,1,70078,97,7912,ACE2,HGNC:13557,angiotensin converting enzyme 2,1,prostaglandin-endoperoxide synthase 2,0
IGF1_HUMAN,P05019,IGF1,Insulin-like growth factor I,5,65,7,77,bin_5,Insulin-like growth factor I,IGF1,1,36173,171,45813,IGF1,HGNC:5464,insulin like growth factor 1,1,interleukin 6,0
RENI_HUMAN,P00797,REN,Renin ,4,18,4,26,bin_5,Renin,REN,1,112622,57,110266,REN,HGNC:9958,renin,1,prostaglandin-endoperoxide synthase 2,0
CXCR4_HUMAN,P61073,CXCR4,C-X-C chemokine receptor type 4,12,43,12,67,bin_5,C-X-C chemokine receptor type 4,CXCR4,1,82337,76,34665,CXCR4,HGNC:2561,C-X-C motif chemokine receptor 4,1,epidermal growth factor receptor,0
ITCH_HUMAN,Q9BY75,ITCH,E3 ubiquitin-protein ligase Itchy homolog,8,31,12,51,bin_5,E3 ubiquitin-protein ligase Itchy homolog,ITCH,1,79364,83,448,ITCH,HGNC:13890,itchy E3 ubiquitin protein ligase,1,prostaglandin-endoperoxide synthase 2,0
DESM_HUMAN,Q8TAC4,DES,Desmin,3,6,14,23,bin_5,Desmin,DES,1,423164,13,30763,DES,HGNC:2770,desmin,1,epidermal growth factor receptor,0
EGLN_HUMAN,P17813,ENG,Endoglin,12,55,8,75,bin_5,Endoglin,ENG,1,115274,56,11971,ENG,HGNC:3349,endoglin,1,epidermal growth factor receptor,0
STAT3_HUMAN,P40763,STAT3,Signal transducer and activator of transcription 3 ,20,77,7,104,bin_5,Signal transducer and activator of transcription 3,STAT3,1,190588,30,151055,STAT3,HGNC:11364,signal transducer and activator of transcription 3,1,prostaglandin-endoperoxide synthase 2,0
SP1_HUMAN,P08047,SP1,Transcription factor Sp1,19,17,7,43,bin_5,Transcription factor Sp1,SP1,1,69696,99,55851,SP1,HGNC:11205,Sp1 transcription factor,1,ret proto-oncogene,0
E2F1_HUMAN,Q01094,E2F1,Transcription factor E2F1 ,11,22,8,41,bin_5,Transcription factor E2F1,E2F1,1,32644,186,28311,E2F1,HGNC:3113,E2F transcription factor 1,1,epidermal growth factor receptor,0
SIR1_HUMAN,Q96EB6,SIRT1,SirtT1 75 kDa fragment ,29,112,16,157,bin_5,SIRT1,SIRT1,1,81652,77,1,SIRT1,HGNC:14929,sirtuin 1,1,prostaglandin-endoperoxide synthase 2,0
TF65_HUMAN,Q04206,RELA,Transcription factor p65,25,78,9,112,bin_5,Transcription factor p65,RELA,1,44651,142,87504,RELA,HGNC:9955,"RELA proto-oncogene, NF-kB subunit",1,prostaglandin-endoperoxide synthase 2,0
APOE_HUMAN,P02649,APOE,Apolipoprotein E ,21,97,31,149,bin_5,Apolipoprotein E,APOE,1,94666,68,73952,APOE,HGNC:613,apolipoprotein E,1,albumin,0
CD4_HUMAN,P01730,CD4,T-cell surface glycoprotein CD4,16,32,8,56,bin_5,T-cell surface glycoprotein CD4,CD4,1,468742,10,82454,CD4,HGNC:1678,CD4 molecule,1,cytochrome P450 family 2 subfamily C member 19,0
RAN_HUMAN,Q9CWI7,RAN,GTP-binding nuclear protein Ran,12,21,19,52,bin_5,GTP-binding nuclear protein Ran,RAN,1,297774,19,3090,RAN,HGNC:9846,"RAN, member RAS oncogene family",1,prostaglandin-endoperoxide synthase 2,0
ALBU_HUMAN,Q8IUK7,ALB,Albumin,10,3,11,24,bin_5,Albumin,ALB,1,44785,141,790338,ALB,HGNC:399,albumin,1,albumin,1
SDF1_HUMAN,Q9H554,CXCL12,SDF-1-alpha(3-67),6,39,4,49,bin_5,CXCL12,CXCL12,1,46337,138,13,CXCL12,HGNC:10672,C-X-C motif chemokine ligand 12,1,prostaglandin-endoperoxide synthase 2,0
NANOG_HUMAN,Q9H9S0,NANOG,Homeobox protein NANOG,8,10,5,23,bin_5,Homeobox protein NANOG,NANOG,1,39822,157,8136,NANOG,HGNC:20857,Nanog homeobox,1,forkhead box P3,0
AKT1_HUMAN,P31749,AKT1,RAC-alpha serine/threonine-protein kinase,17,136,17,170,bin_5,RAC-alpha serine/threonine-protein kinase,AKT1,1,46136,139,1094,AKT1,HGNC:391,AKT serine/threonine kinase 1,1,albumin,0
ARF_HUMAN,Q8N726,CDKN2A,Tumor suppressor ARF ,8,38,6,52,bin_5,Tumor suppressor ARF,CDKN2A,1,78204,86,17898,CDKN2A,HGNC:1787,cyclin dependent kinase inhibitor 2A,1,cytochrome b-245 beta chain,0
CD14_HUMAN,P08571,CD14,"Monocyte differentiation antigen CD14, membrane-bound form",5,25,10,40,bin_5,CD14,CD14,1,238351,25,6601,CD14,HGNC:1628,CD14 molecule,1,cytochrome P450 family 2 subfamily C member 9,0
SODC_HUMAN,P00441,SOD1,Superoxide dismutase [Cu-Zn] ,7,57,16,80,bin_5,Superoxide dismutase [Cu-Zn],SOD1,1,38359,160,175044,SOD1,HGNC:11179,superoxide dismutase 1,1,ret proto-oncogene,0
NLRP3_HUMAN,Q5JQS8,NLRP3,"NACHT, LRR and PYD domains-containing protein 3 ",15,27,11,53,bin_5,"NACHT, LRR and PYD domains-containing protein 3",NLRP3,1,92195,69,6004,NLRP3,HGNC:16400,NLR family pyrin domain containing 3,1,prostaglandin-endoperoxide synthase 2,0
CD28_HUMAN,Q9BYV0,CD28,T-cell-specific surface glycoprotein CD28,3,28,6,37,bin_5,T-cell-specific surface glycoprotein CD28,CD28,1,79997,79,47835,CD28,HGNC:1653,CD28 molecule,1,cytochrome P450 family 2 subfamily C member 9,0
GALA_HUMAN,P22466,GAL,Galanin message-associated peptide,6,16,4,26,bin_5,Galanin message-associated peptide,GAL,1,129672,46,45,GAL,HGNC:4114,galanin and GMAP prepropeptide,1,fibrinogen beta chain,0
CDK1_HUMAN,P06493,CDK1,Cyclin-dependent kinase 1,13,52,17,82,bin_5,Cyclin-dependent kinase 1,CDK1,1,37531,164,29222,CDK1,HGNC:1722,cyclin dependent kinase 1,1,cytochrome P450 family 2 subfamily C member 19,0
GROA_HUMAN,P09341,CXCL1,GRO-alpha(6-73),5,12,4,21,bin_5,CXCL1,CXCL1,1,37066,168,23,CXCL1,HGNC:4602,C-X-C motif chemokine ligand 1,1,interleukin 6,0
TIE2_HUMAN,CKLRCSCNNG,TEK,Angiopoietin-1 receptor,6,34,13,53,bin_5,Angiopoietin-1 receptor,TEK,1,87320,70,14308,TEK,HGNC:11724,TEK receptor tyrosine kinase,1,ret proto-oncogene,0
ESR1_HUMAN,P03372,ESR1,Estrogen receptor,26,45,11,82,bin_5,Estrogen receptor,ESR1,1,23842,264,273854,ESR1,HGNC:3467,estrogen receptor 1,2,epidermal growth factor receptor,0
COMT_HUMAN,P21964,COMT,Catechol O-methyltransferase ,4,44,8,56,bin_5,Catechol O-methyltransferase,COMT,1,19448,325,13376,COMT,HGNC:2228,catechol-O-methyltransferase,2,cytochrome P450 family 2 subfamily E member 1,0
CRF_HUMAN,P06850,CRH,Corticoliberin,6,49,5,60,bin_5,Corticotropin-releasing hormone,CRH,1,21312,295,28151,CRH,HGNC:2355,corticotropin releasing hormone,2,cytochrome P450 family 2 subfamily C member 19,0
NUMB_HUMAN,Q8WW73,NUMB,Protein numb homolog,3,8,11,22,bin_5,protein numb homolog,NUMB,1,16567,369,2532,NUMB,HGNC:8060,NUMB endocytic adaptor protein,2,mitogen-activated protein kinase 1,0
DMD_HUMAN,Q02295,DMD,Dystrophin,8,28,18,54,bin_5,Dystrophin,DMD,1,24530,255,23760,DMD,HGNC:2928,dystrophin,2,epidermal growth factor receptor,0
SRF_HUMAN,P11831,SRF,Serum response factor,12,69,4,85,bin_5,Serum response factor,SRF,1,23006,274,1397892,SRF,HGNC:11291,serum response factor,2,prostaglandin-endoperoxide synthase 2,0
COLI_HUMAN,P01189,POMC,Met-enkephalin,6,16,5,27,bin_5,Met-enkephalin,PENK,0,22466,281,7276,POMC,HGNC:9201,proopiomelanocortin,2,prostaglandin-endoperoxide synthase 2,0
IL18_HUMAN,Q14116,IL18,Interleukin-18 ,2,38,3,43,bin_5,Interleukin-18,IL18,1,28863,211,22631,IL18,HGNC:5986,interleukin 18,2,interleukin 6,0
FES_HUMAN,P07332,FES,Tyrosine-protein kinase Fes/Fps,6,20,8,34,bin_5,Tyrosine-protein kinase Fes/Fps,FES,1,24611,254,118,FES,HGNC:3657,"FES proto-oncogene, tyrosine kinase",2,epidermal growth factor receptor,0
