ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,HGNC_id,HGNC_name,Bin,predicted_hgnc_term,term_match_result
GLUC_HUMAN,P01275,GCG,Glucagon-like peptide 2,4,18,5,27,bin_5,Glucagon-like peptide 2,GCG,1,51972,120,2697,GCG,HGNC:4191,glucagon,1,glucagon,1
CCR5_HUMAN,Q9UPA4,CCR5,C-C chemokine receptor type 5 ,9,18,5,32,bin_5,C-C chemokine receptor type 5,CCR5,1,49646,125,45917,CCR5,HGNC:1606,C-C motif chemokine receptor 5,1,C-C motif chemokine receptor 5,1
IL6_HUMAN,P05231,IL6,Interleukin-6 ,3,88,4,95,bin_5,Interleukin-6,IL6,1,82871,74,264238,IL6,HGNC:6018,interleukin 6,1,interleukin 6,1
RHOA_HUMAN,P61586,RHOA,Transforming protein RhoA ,5,73,21,99,bin_5,Transforming protein RhoA,RHOA,1,70107,96,17392,RHOA,HGNC:667,ras homolog family member A,1,apolipoprotein A-I,0
OPSD_HUMAN,P08100,RHO,Rhodopsin,4,15,15,34,bin_5,Rhodopsin,RHO,1,359949,16,32914,RHO,HGNC:10012,rhodopsin,1,apolipoprotein A1,0
CD40L_HUMAN,P29965,CD40LG,"CD40 ligand, soluble form ",5,17,6,28,bin_5,"CD40 ligand, soluble form",CD40LG,1,49643,126,16132,CD40LG,HGNC:11935,CD40 ligand,1,solute carrier family 25 member 18,0
CO1A1_HUMAN,Q15201,COL1A1,Collagen alpha-1(I) chain,5,45,6,56,bin_5,Collagen alpha-1(I) chain,COL1A1,1,31141,194,20543,COL1A1,HGNC:2197,collagen type I alpha 1 chain,1,apolipoprotein E,0
MAX_HUMAN,P61244,MAX,Protein max ,9,4,9,22,bin_5,protein,MAX,1,653872,6,320082,MAX,HGNC:6913,MYC associated transcriptional regulator X,1,solute carrier family 25 member 18,0
CGAS_HUMAN,Q8N884,CGAS,Cyclic GMP-AMP synthase ,12,20,7,39,bin_5,Cyclic GMP-AMP synthase,MB21D1,0,36036,172,7870,CGAS,HGNC:21367,cyclic GMP-AMP synthase,1,solute carrier family 25 member 18,0
CBPE_HUMAN,P16870,CPE,Carboxypeptidase E,5,10,6,21,bin_5,Carboxypeptidase E,CPE,1,35293,176,2094,CPE,HGNC:2303,carboxypeptidase E,1,apolipoprotein A1,0
SOX2_HUMAN,P48431,SOX2,Transcription factor SOX-2,8,31,7,46,bin_5,Transcription factor SOX-2,SOX2,1,64739,105,6691,SOX2,HGNC:11195,SRY-box transcription factor 2,1,solute carrier family 25 member 18,0
MDM2_HUMAN,Q53XW0,MDM2,E3 ubiquitin-protein ligase Mdm2,17,63,9,89,bin_5,E3 ubiquitin-protein ligase Mdm2,MDM2,1,54896,115,14829,MDM2,HGNC:6973,MDM2 proto-oncogene,1,solute carrier family 25 member 18,0
MMP2_HUMAN,P08253,MMP2,PEX,6,45,7,58,bin_5,peroxisomal biogenesis factor,PEX,0,37986,162,6908,MMP2,HGNC:7166,matrix metallopeptidase 2,1,solute carrier family 25 member 18,0
EGFR_HUMAN,Q9H2C9,EGFR,Epidermal growth factor receptor ,23,85,25,133,bin_5,Epidermal growth factor receptor,EGFR,1,330536,17,338787,EGFR,HGNC:3236,epidermal growth factor receptor,1,apolipoprotein E,0
ANGT_HUMAN,P01019,AGT,Angiotensin 1-4,5,48,6,59,bin_5,Angiotensin 1-4,XXXX,0,57750,112,68541,AGT,HGNC:333,angiotensinogen,1,apolipoprotein A-I,0
CDK2_HUMAN,P24941,CDK2,Cyclin-dependent kinase 2,8,31,19,58,bin_5,Cyclin-dependent kinase 2,CDK2,1,41982,151,9315,CDK2,HGNC:1771,cyclin dependent kinase 2,1,apolipoprotein A1,0
H2AX_HUMAN,P16104,H2AX,Histone H2AX,8,15,11,34,bin_5,Histone H2AX,H2AFX,0,31393,192,23310,H2AX,HGNC:4739,H2A.X variant histone,1,solute carrier family 22 member 5,0
SMS_HUMAN,P61278,SST,Neuronostatin ,1,17,5,23,bin_5,Neuronostatin,NTS,0,32353,188,110,SST,HGNC:11329,somatostatin,1,solute carrier family 25 member 18,0
CLOCK_HUMAN,O15516,CLOCK,Circadian locomoter output cycles protein kaput,11,22,8,41,bin_5,Circadian locomoter output cycles protein kaput,CLOCK,1,165932,36,123,CLOCK,HGNC:2082,clock circadian regulator,1,apolipoprotein A1,0
LIF_HUMAN,P15018,LIF,Leukemia inhibitory factor,4,40,3,47,bin_5,Leukemia inhibitory factor,LIF,1,39336,159,152259,LIF,HGNC:6596,LIF interleukin 6 family cytokine,1,solute carrier family 25 member 18,0
TERT_HUMAN,O14746,TERT,Telomerase reverse transcriptase,15,32,14,61,bin_5,Telomerase reverse transcriptase,TERT,1,108023,61,66097,TERT,HGNC:11730,telomerase reverse transcriptase,1,solute carrier family 25 member 18,0
CCL5_HUMAN,P13501,CCL5,RANTES(4-68),14,58,3,75,bin_5,RANTES(4-68),CCL5,1,42899,148,320,CCL5,HGNC:10632,C-C motif chemokine ligand 5,1,solute carrier family 25 member 18,0
SMAD4_HUMAN,Q13485,SMAD4,Mothers against decapentaplegic homolog 4,18,80,10,108,bin_5,Mothers against decapentaplegic homolog 4,SMAD4,1,37729,163,73239,SMAD4,HGNC:6770,SMAD family member 4,1,solute carrier family 25 member 18,0
CBS_HUMAN,P35520,CBS,Cystathionine beta-synthase ,14,22,3,39,bin_5,Cystathionine beta-synthase,CBS,1,55267,114,11072,CBS,HGNC:1550,cystathionine beta-synthase,1,apolipoprotein E,0
TRFE_HUMAN,P02787,TF,Serotransferrin ,4,14,22,40,bin_5,Serotransferrin,TF,1,173499,31,110565,TF,HGNC:11740,transferrin,1,solute carrier family 25 member 18,0
EMD_HUMAN,P50402,EMD,Emerin,3,9,12,24,bin_5,Emerin,EMD,1,100019,67,3518,EMD,HGNC:3331,emerin,1,solute carrier family 25 member 18,0
LYOX_HUMAN,P28300,LOX,"Protein-lysine 6-oxidase, short form ",5,29,4,38,bin_5,protein,LOX,1,54645,116,186,LOX,HGNC:6664,lysyl oxidase,1,solute carrier family 25 member 18,0
MYB_HUMAN,P78526,MYB,Transcriptional activator Myb,3,26,4,33,bin_5,Transcriptional activator Myb,MYB,1,53261,118,15389,MYB,HGNC:7545,"MYB proto-oncogene, transcription factor",1,solute carrier family 25 member 18,0
KLOT_HUMAN,Q9UEF7,KL,Klotho peptide,6,12,6,24,bin_5,Klotho peptide,KL,1,142790,43,7357,KL,HGNC:6344,klotho,1,solute carrier family 25 member 18,0
MYC_HUMAN,P01106,MYC,Myc proto-oncogene protein,14,42,7,63,bin_5,Myc proto-oncogene protein,MYC,1,275977,20,50828,MYC,HGNC:7553,"MYC proto-oncogene, bHLH transcription factor",1,solute carrier family 25 member 18,0
FGFR2_HUMAN,Q9UQH7,FGFR2,Fibroblast growth factor receptor 2,7,96,11,114,bin_5,Fibroblast growth factor receptor 2,FGFR2,1,19773,318,5945,FGFR2,HGNC:3689,fibroblast growth factor receptor 2,2,apolipoprotein E,0
FER_HUMAN,P16591,FER,Tyrosine-protein kinase Fer,6,38,10,54,bin_5,Tyrosine-protein kinase Fer,FER,1,19584,323,2725,FER,HGNC:3655,FER tyrosine kinase,2,solute carrier family 25 member 18,0
FTO_HUMAN,Q9C0B1,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO ,6,11,7,24,bin_5,Alpha-ketoglutarate-dependent dioxygenase FTO,FTO,1,23116,272,1988,FTO,HGNC:24678,FTO alpha-ketoglutarate dependent dioxygenase,2,solute carrier family 25 member 18,0
PAX6_HUMAN,P26367,PAX6,Paired box protein Pax-6,19,75,5,99,bin_5,Paired box protein Pax-6,PAX6,1,21335,294,17279,PAX6,HGNC:8620,paired box 6,2,solute carrier family 25 member 18,0
BMP4_HUMAN,P12644,BMP4,Bone morphogenetic protein 4 ,6,137,3,146,bin_5,Bone morphogenetic protein 4,BMP4,1,28112,214,10299,BMP4,HGNC:1071,bone morphogenetic protein 4,2,apolipoprotein B,0
NOX4_HUMAN,Q86V92,NOX4,NADPH oxidase 4,11,17,11,39,bin_5,NADPH oxidase 4,NOX4,1,19577,324,7407,NOX4,HGNC:7891,NADPH oxidase 4,2,solute carrier family 25 member 18,0
TRAF2_HUMAN,Q12933,TRAF2,TNF receptor-associated factor 2,17,28,12,57,bin_5,TNF receptor-associated factor 2,TRAF2,1,15852,392,3031,TRAF2,HGNC:12032,TNF receptor associated factor 2,2,solute carrier family 25 member 18,0
VIME_HUMAN,Q96ML2,VIM,Vimentin,8,12,14,34,bin_5,Vimentin,VIM,1,29413,204,98292,VIM,HGNC:12692,vimentin,2,solute carrier family 25 member 18,0
TYY1_HUMAN,P25490,YY1,Transcriptional repressor protein YY1,15,31,8,54,bin_5,Transcriptional repressor protein YY1,YY1,1,16340,370,14891,YY1,HGNC:12856,YY1 transcription factor,2,solute carrier family 25 member 18,0
IRF7_HUMAN,Q92985,IRF7,Interferon regulatory factor 7,4,25,6,35,bin_5,Interferon regulatory factor 7,IRF7,1,16249,374,5963,IRF7,HGNC:6122,interferon regulatory factor 7,2,solute carrier family 25 member 18,0
MSH2_HUMAN,P43246,MSH2,DNA mismatch repair protein Msh2,10,27,6,43,bin_5,DNA mismatch repair protein Msh2,MSH2,1,20706,303,13780,MSH2,HGNC:7325,mutS homolog 2,2,solute carrier family 22 member 5,0
LCK_HUMAN,Q9NYT8,LCK,Tyrosine-protein kinase Lck,17,24,6,47,bin_5,Tyrosine-protein kinase Lck,LCK,1,19965,313,12773,LCK,HGNC:6524,"LCK proto-oncogene, Src family tyrosine kinase",2,solute carrier family 25 member 18,0
