ID,protein_name_ft,pmatch_orig,pmatch_ft,category
GLUC_HUMAN,Glucagon-like peptide 2,1,1,c
CCR5_HUMAN,C-C chemokine receptor type 5 ,0,1,g
IL6_HUMAN,Interleukin-6 ,1,1,c
RHOA_HUMAN,Transforming protein RhoA ,1,1,c
OPSD_HUMAN,Rhodopsin,0,0,i
CD40L_HUMAN,"CD40 ligand, soluble form ",1,1,c
CO1A1_HUMAN,Collagen alpha-1(I) chain,0,1,g
MAX_HUMAN,Protein max ,0,0,i
CGAS_HUMAN,Cyclic GMP-AMP synthase ,0,0,i
CBPE_HUMAN,Carboxypeptidase E,1,1,c
SOX2_HUMAN,Transcription factor SOX-2,1,1,c
MDM2_HUMAN,E3 ubiquitin-protein ligase Mdm2,0,0,i
MMP2_HUMAN,PEX,0,1,g
EGFR_HUMAN,Epidermal growth factor receptor ,1,1,c
ANGT_HUMAN,Angiotensin 1-4,1,1,c
CDK2_HUMAN,Cyclin-dependent kinase 2,1,1,c
H2AX_HUMAN,Histone H2AX,0,0,i
SMS_HUMAN,Neuronostatin ,1,1,c
CLOCK_HUMAN,Circadian locomoter output cycles protein kaput,0,0,i
LIF_HUMAN,Leukemia inhibitory factor,0,0,i
TERT_HUMAN,Telomerase reverse transcriptase,1,1,c
CCL5_HUMAN,RANTES(4-68),1,1,c
SMAD4_HUMAN,Mothers against decapentaplegic homolog 4,1,1,c
CBS_HUMAN,Cystathionine beta-synthase ,1,1,c
TRFE_HUMAN,Serotransferrin ,0,0,i
EMD_HUMAN,Emerin,1,1,c
LYOX_HUMAN,"Protein-lysine 6-oxidase, short form ",0,0,i
MYB_HUMAN,Transcriptional activator Myb,0,1,g
KLOT_HUMAN,Klotho peptide,1,1,c
MYC_HUMAN,Myc proto-oncogene protein,0,1,g
FGFR2_HUMAN,Fibroblast growth factor receptor 2,1,1,c
FER_HUMAN,Tyrosine-protein kinase Fer,1,1,c
FTO_HUMAN,Alpha-ketoglutarate-dependent dioxygenase FTO ,0,0,i
PAX6_HUMAN,Paired box protein Pax-6,1,1,c
BMP4_HUMAN,Bone morphogenetic protein 4 ,1,1,c
NOX4_HUMAN,NADPH oxidase 4,1,1,c
TRAF2_HUMAN,TNF receptor-associated factor 2,0,1,g
VIME_HUMAN,Vimentin,1,1,c
TYY1_HUMAN,Transcriptional repressor protein YY1,1,1,c
IRF7_HUMAN,Interferon regulatory factor 7,1,1,c
MSH2_HUMAN,DNA mismatch repair protein Msh2,1,1,c
LCK_HUMAN,Tyrosine-protein kinase Lck,0,0,i
TRPM2_HUMAN,Transient receptor potential cation channel subfamily M member 2,1,1,c
DNM3A_HUMAN,DNA (cytosine-5)-methyltransferase 3A,1,1,c
SKI_HUMAN,Ski oncogene,0,0,i
G6PD_HUMAN,Glucose-6-phosphate 1-dehydrogenase,1,1,c
CCR6_HUMAN,C-C chemokine receptor type 6,1,1,c
DYR_HUMAN,Dihydrofolate reductase,1,1,c
VHL_HUMAN,von Hippel-Lindau disease tumor suppressor,1,1,c
BTK_HUMAN,Tyrosine-protein kinase BTK,0,0,i
